PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) METADONA, OXYCONTIN)"
SANBORN HERMANOS SA,SANBORN´S ALTABRISA,FARMACIA,C 7 No 451 X 22 Y 24,ALTABRISA,97134,MERIDA,YUCATAN,FA0501655,20-ago-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","SAM´S CLUB AVENIDA 
AVIACION",FARMACIA,C 81-A X 94 Y 96-V,CENTRO,97002,MERIDA,YUCATAN,FA0501656,11-sep-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV",BAZAR CANTARITOS,FARMACIA,"C 3 No 290 LOCAL 1 X 32 Y 
34",SAN PEDRO UXMAL,97203,MERIDA,YUCATAN,FA0501657,12-SEPT.14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUC ISSSTE",FARMACIA,C 7 No 222-A X 34 Y 36,PENSIONES,97217,MERIDA,YUCATAN,FA0500903,13-dic-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"FARMACIA ANDREA SA DE 
CV SUCURSAL MERIDA","FARMACIA ANDREA SA DE 
CV",FARMACIA,"AV JOSE DIAZ BOLIO No 54-
C X 8 Y 10",MEXICO,97125,MERIDA,YUCATAN,FA0501659,15-dic-14,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL Y 
TOXOIDES."
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV",BAZAR OXKUTZCAB,FARMACIA,"C 49 No 109 LOCAL 2 X 50 Y 
52",CENTRO,97880,OXKUTZCAB,YUCATAN,FA0561658,18-nov-14,
"CORPORATIVO J Y J SA DE 
CV",FARMACIA SIGNO VITAL,FARMACIA,"C 33 No 506-J LOCAL 5 X 72 
Y AV  REFORMA",CENTRO,97000,MERIDA,YUCATAN,FA0501661,19-dic-14,GRUPO II Y III
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL",INSTITUTO MEXICANO DEL S,EFGAURRMOA CSIOACIAL,C 26 No 319 X 13 Y 15,"FELIPE CARRILLO 
PUERTO",97430,MOTUL,YUCATAN,FA0521660,"15-GdiRc-U1P4O I, II, III,",
"COSTCO DE MEXICO S.A. DE 
C.V.",COSTCO,FARMACIA,C 3-B No 243 X 20-A Y 60,REVOLUCION,97204,MERIDA,YUCATAN,FA0501662,03-mar-15,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DISTRIBUIDORA DE 
FARMACOS Y FRAGANCIAS 
SA DE CV",DIFASA ELITE,FARMACIA,"C 15 No 491 LOCAL 6 X 18 Y 
22",ALTABRISA,97130,MERIDA,YUCATAN,FA0501663,11-mar-15,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA UMAN I,FARMACIA,C 20 No 87 X 17 Y 19,CENTRO,97390,UMAN,YUCATAN,FA1011665,23-mar-15,"GRUPO II, II, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA  TIZIMIN 
MERCADO",FARMACIA,C 48 No 374 X 47 Y 49,CENTRO,977000,TIZIMIN,YUCATAN,FA0951666,15-abr-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA VILLAS 
ORIENTE",FARMACIA,C 8 No 217 X 65-B Y 65-C,"VILLAS DEL 
ORIENTE",97370,KANASIN,YUCATAN,FA0411668,24-abr-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"SERVICIOS DE SALUD DE 
YUCATAN",CISAME MERIDA,FARMACIA,C 116 S/N INTERIOR X 59,BOJORQUEZ,97230,MERIDA,YUCATAN,FA0501664,23-may-15,"GRUPO I, II Y III"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","MI BODEGA AURRERA 
TIXKOKOB",FARMACIA,C 21 No 129 X 32 Y 34,CENTRO,97470,TIXKOKOB,YUCATAN,FA091667,25-may-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL JUAN PABLO II",FARMACIA,C 41 No 299 X 22 Y 24,JUAN PABLO II,97246,MERIDA,YUCATAN,FA0501669,02-jun-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL MIGUEL ALEMAN",FARMACIA,C 17 No 294 X 24 Y 26,MIGUEL ALEMAN,97148,MERIDA,YUCATAN,FA0501670,02-jun-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
HALACHO",FARMACIA,C 21 X 18 Y 20,S/C,97830,HALACHO,YUCATAN,FA0331671,23-jun-15,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR TIZIMIN 
3",FARMACIA,C 46 No 362 X 45 Y 47,CENTRO,97700,TIZIMIN,YUCATAN,FA0951672,23-jun-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"SERVICIOS DE SALUD DE 
YUCATAN","FARMACIA CISAME 
VALLADOLID",FARMACIA,C 27 S/N X 18 Y 20,FERNANDO NOVELO,97782,VALLADOLID,YUCATAN,FA1021675,24-jun-15,"GRUPO I, II Y III"
OLDMO SA DE CV,FARMACIAS F-MEDICA,FARMACIA,C 94 No 241 X 57-D Y 59,LAS AMERICAS,97302,MERIDA,YUCATAN,FA0501674,24-jun-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
FARMACOS Y FRAGANCIAS 
SA DE CV","FARMACIA HOSPITAL 
VALLADOLID",FARMACIA,"AV VICTOR MANUEL 
CERVERA PACHECO TAB. 
CATASTRAL 10343 X 18 Y 22",SAN ISIDRO,97782,VALLADOLID,YUCATAN,FA1021673,24-jun-15,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL FRANCISCO DE 
MONTEJO",FARMACIA,C 48 No 123-A X 39-C Y 41,"FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA0501676,10-jul-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL ZAPATA 
ORIENTE",FARMACIA,C 48-A No 398 X 41 Y 45,"EMILIANO ZAPATA 
ORIENTE",97144,MERIDA,YUCATAN,FA0501677,10-jul-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA MEDICA Y 
HOSPITALARIA QUIROZ SA 
DE CV",FARMACIAS DE LA OFERTA,FARMACIA,"C 62 No 309-D 
DEPARTAMENTOS 9 Y 10 X 
33-A Y 33-B",CENTRO,97000,MERIDA,YUCATAN,FA0501678,18-ago-15,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
CAUCEL IMSS",FARMACIA,C 43 No 686 X 78 Y 80,CIUDAD CAUCEL,97314,MERIDA,YUCATN,FA0501680,10-sep-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL TAMLUM",FARMACIA,C 32-A No 397 X 43 Y 43-A,"PEDREGALES DE 
TANLUM",97210,MERIDA,YUCATAN,FA0501681,10-sep-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
SALUCOM SA DE CV,FARMACIA LA PAZ,FARMACIA,"C 7 No 552 LOCALES 1 Y 2 X 
24-A Y 24-B",MAYA,97134,MERIDA,YUCATAN,FA0501682,30-sep-15,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA MULSAY,FARMACIA,"C 65 A ZONA UNO MZA 25 
No 786 X 102",MULSAY,97249,MERIDA,YUCATAN,FA0501683,08-oct-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL GARCIA LAVIN",FARMACIA,C 30 No 385 local 1 x 29 y 31,MONTEBELLO,97113,MERIDA,YUCATAN,FA0501684,08-oct-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL , 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
PROGRESO 3",FARMACIA,C 80 No 139 X 79 Y 81,CENTRO,97320,PROGRESO,YUCATAN,FA0591686,28-oct-15,"GRUPO II, III, VACUNAS"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","FARMACIA BODEGA  
AURRERA  NUEVA 
KUKULCAN",FARMACIA,"C 99 No 300 X 83 Y 14 
CIRCUITO COLONIAS","AMPLIACION 
SALVADOR 
ALVARADO SUR",97196,MERIDA,YUCATAN,FA0501685,16-oct-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
TIXCACAL",FARMACIA,C 26 No 651 X 75 Y 26,TIXCACAL OPICHEN,97249,MERIDA,YUCATAN,FA0501687,09-dic-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
CHOLUL PLAZA",FARMACIA,C 22 No 101 X 21 Y 23,CHOLUL,97305,MERIDA,YUCATAN,FA0501688,10-dic-15,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"FUNDACION MEDICO SAN 
LUCAS","CENTRO MEDICO SAN 
LUCAS",FARMACIA,TABLAJE CATASTRAL 8968,X-CORAZON,97780,VALLADOLID,YUCATAN,FA1021689,08-ene-16,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL LOS COCOS",FARMACIA,C 60 No 743-E X 95,"DELIO MORENO 
CANTON",97268,MERIDA,YUCATAN,FA0501690,11-ene-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA JUAN PABLO 
III",FARMACIA,C 32 No 426-B X 41 Y 43,JUAN PABLO II,97246,MERIDA,YUCATAN,FA0501692,18-ene-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,YZA TICUL CENTRO,FARMACIA,C 25 No 191 X 24 Y 25,CENTRO,97860,TICUL,YUCATAN,FA0891693,19-ene-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,YZA CAUCEL ZOOLOGICO,FARMACIA,C 60 No 849-D X 83 Y 85,CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501695,23-feb-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA VALLADOLID 
FLAMBOYANES",FARMACIA,C 56-B No 194 LOCAL 2 X 33,FLAMBOYANES,97780,VALLADOLID,YUCATAN,FA1021694,23-feb-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA CAUCEL 
NUEVA CREACION",FARMACIA,C 37-D No 826 X 106 Y 108,CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501697,30-mar-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,YZA LA CASTELLANA,FARMACIA,C 41 No 249-B X 41 Y 34,LA CASTELLANA,97203,MERIDA,YUCATAN,FA0501696,30-mar-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,YZA VALLADOLID SAN JUAN,FARMACIA,C 40 No 216-A,CENTRO,97780,VALADOLID,YUCATAN,FA1021698,12-abr-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CENTRO 67,FARMACIA,C 67 No 504-B X 60 Y 62,CENTRO,97000,MERIDA,YUCATAN,FA0501700,03-may-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SA DE CV","FARMACIAS DERMA 
SUCURSAL MERIDA 
MONTEJO",FARMACIA,"C 30 No 132 LOCAL 3 X 29 Y 
31",MEXICO,97125,MERIDA,YUCATAN,DG0501519,10-may-16,"GRUPO II, III, VACUNAS"
"NUEVA WALMART DE 
MEXICO S DE RL DE CV","FARMACIA BODEGA 
AURRERA 
FRACCIONAMIENTO LAS 
AMERICAS",FARMACIA,C 47 No 430 X 61 Y 65,LAS AMERICAS,97302,MERIDA,YUCATAN,FA0501699,25-abr-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DERMOCUTANEA DEL 
SURESTE SA DE CV",FARMACIA DERMOCUTANEA,FARMACIA,"C 15 No 503 PB 101 X 18 Y 
22",ALTABRISA,97130,MERIDA,YUCATAN,FA0501701,08-jun-16,GRUPO II
FARMACON SA DE CV,FARMACIA YZA SEYE,FARMACIA,C 32 No 115 X 31 Y 33,SEYE,97570,MERIDA,YUCATAN,FA0671703,20-jun-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DERMATOLOGICA 
TERRANOVA S DE RL DE CV","FARMACIA 
DERMATOLOGICA 
TERRANOVA",FARMACIA,"C 1 No 250 LOCAL 10 X 1 Y 
38-C, AV CAMPESTRE","CAMPESTRE (PLAZA 
CAMPESTRE)",97120,MERIDA,YUCATAN,FA0501706,06-jul-16,GRUPO II
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD DE MEDICINA 
FAMILIAR No 55",FARMACIA,C 56 No 245 X 43,SAN IGNACIO,97970,TEKAX,YUCATAN,FA0791707,08-jul-16,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS, 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA CAUCEL 
GLORIETA",FARMACIA,C 57 No 596 X 60 Y 60-B,CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501708,13-jul-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
CHOLUL",FARMACIA,"C 23 No 108 LOCAL 1 X 20 Y 
22",CHOLUL,97305,MERIDA,YUCATAN,FA0501709,13-jul-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS, 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA PISTE 
CENTRO",FARMACIA,C 15-A No 49,PISTE,97751,TINUM,YUCATAN,FA0911710,25-jul-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MARIA 
LUISA II",FARMACIA,C 42 No 636 X 103-A,MARIA LUISA,97199,MERIDA,YUCATAN,FA0501711,25-jul-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA HOMUN 
CENTRO",FARMACIA,C 19 No 110 X 22,HOMUN,97580,HOMUN,YUCATAN,FA0361712,25-jul-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","HOSPITAL GENERAL DE 
ZUBZONA CON MEDICINA 
FAMILIAR No 5",FARMACIA,C 43 S/N X 47,CENTRO,97700,TIZIMIN,YUCATAN,FA0951713,04-ago-16,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
CHICXULUB",FARMACIA,C 20 No 43-A X 19 Y 21,CENTRO,97330,CHICXULUB,YUCATAN,FA0591714,11-ago-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD DE MEDICINA 
FAMILIAR No 41",FARMACIA,C 21 No 177 X 30 Y 32,CENTRO,97380,ACANCEH,YUCATAN,FA0021715,11-ago-16,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD DE MEDICINA 
FAMILIAR No 8",FARMACIA,C 32 No 104 X 34,CENTRO,97960,TZUCACAB,YUCATAN,FA0981716,29-ago-16,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
FLORIDA",FARMACIA,"C 17 No 238 LOCAL 8 X 28 Y 
30",LA FLORIDA,97138,MERIDA,YUCATAN,FA0501717,27-sep-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA CAUCEL 
CRUCERO",FARMACIA,C 59 No 697 X 88,CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501718,29-sep-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
FARMACOS Y FRAGANCIAS 
SA DE CV","FARMACIA SAN CARLOS 
TIZIMIN",FARMACIA,C 46 No 461 X 65 Y 67,LAZARO CARDENAS,97700,TIZIMIN,YUCATAN,FA0951719,04-oct-16,"GRUPO I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL Y HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR PLAZA 
PIRE",FARMACIA,"C 24 No 280 TABLAJE 26813 
LOCAL 16 X 7 Y 7-A","SANTA GERTRUDIS 
COPO",97305,MERIDA,YUCATAN,FA0501720,19-oct-16,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
MEDSUR S DE RL,MEDSUR S DE RL,FARMACIA,C 7 No 433 X 20 Y 22,ALTABRISA,97130,MERIDA,YUCATAN,FA0501580,10-nov-16,"GRUPO I, II, III, VACUNAS,SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL,HEMODERIVADOS Y 
TOXOIDES"
"DULCE MARIA PINEDA 
CASTILLO","FARMACIA DE LA 
PENINSULA",FARMACIA,C 7 No 100-C X 22-A Y 22-B,"RINCONADA DE 
CHUBURNA",97208,MERIDA,YUCATAN,FA0501722,13-dic-16,"GRUPO I, II Y III"
PHARM RCE S DE RL DE CV,FARMACIA PHARM RCE,FARMACIA,"C 60 No 323-A INTERIOR B X 
31 Y 33","CENTRO (ALCALA 
MARTIN)",97000,MERIDA,YUCATAN,FA0501721,13-dic-16,GRUPO  HEMODERIVADOS
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL PLAZA FIESTA",FARMACIA,C 6 No 423 X 1 Y 17-A,DIAZ ORDAZ,97130,MERIDA,YUCATAN,FA0501723,19-ene-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIAS YZA TEKIT,FARMACIA,C 26 No 202,TEKIT,97680,TEKIT,YUCATAN,FA0801724,02-feb-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"FARMACIAS DE VALOR SA 
DE CV","FARMACIAS DE VALOR S.A 
DE C.V",FARMACIA,"C 43 No 176 LOCAL 6 Y 7 X 
40 Y 51",PINZON,97205,MERIDA,YUCATAN,FA0501726,02-feb-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
ACANCEH",FARMACIA,"C 23 No 102 LOC 1 X 20 
ESQUINA",CENTRO,97380,ACANCEH,YUCATAN,FA0021725,02-feb-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","HOSPITAL GENERAL DE 
SUBZONA CON MEDICINA 
FAMILIAR No 46",FARMACIA,C 29 No 116 X 18 Y 20,SANTA BARBARA,97390,UMAN,YUCATAN,FA1011727,02-mar-17,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DERMATOLOGICA 
TERRANOVA S DE RL DE CV","DERMATOLOGICA 
TERRANOVA",FARMACIA,C 33-A No 463 X 52 Y 54,CENTRO,97000,MERIDA,YUCATAN,FA0501730,03-mar-17,GRUPO II
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD DE MEDICINA 
FAMILIAR No 50",FARMACIA,C 29 No 205 X 22 Y 24,BEATRIZ VELAZCO,97345,CONKAL,YUCATAN,FA0131728,03-mar-17,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN  ANIMLA, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","NUEVA WAL MART DE 
MEXICO S DE RL DE CV",FARMACIA,C 17 No 104-A X 10 Y 32-A,VISTA ALEGRE,97130,MERIDA,YUCATAN,FA0501729,03-mar-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS, 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 42 
SUR",FARMACIA,C 131 No 210 X 42 Y 44,"SAN NICOLAS DEL 
SUR",97289,MERIDA,YUCATAN,FA0501731,05-abr-17,"GRUPO II Y III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL, HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIA BAZAR 
SUCURSAL CANEK",FARMACIA,"C 59-A No 699 LOCAL 2 X 
106 Y 114",BOJORQUEZ,97230,MERIDA,YUCATAN,FA0501732,05-abr-17,"GRUPO II Y III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL, HEMODERIVADOS"
