ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"COMERCIALIZADORA FARMACEUTICA 
DEL SOCONUSCO S.A. DE C.V.",FARMACIA,"3a. AV. SUR PROLONGACION No.40, 
DAMIGAS",,,TAPACHULA,CHIAPAS,07089090025,07/06/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR No.6,FARMACIA,DOMICILIO CONOCIDO S/N,,,TAPACHULA,CHIAPAS,07089090026,10/09/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
URBANO DE VILLA DE LAS FLORES",FARMACIA,"PRIVADA JAZMIN Y AV. JACARANDAS 
S/N, VILLA DE LAS FLORES",,,TAPACHULA,CHIAPAS,07089090027,01/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA DE SAM'S TAPACHULA,FARMACIA,"LIBRAMIENTO SUR KM.3.5 
CARRETERA TAPACHULA - PUERTO 
MADERO, FRACC. VALLE DORADO II",,,TAPACHULA,CHIAPAS,07089090028,22/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA CLINICA HOSPITAL 
ISSTECH",FARMACIA,"5a. AV. SUR PROLONGACION S/N 
ESQ. 20 CALLE ORIENTE, BENITO 
JUAREZ",,,TAPACHULA,CHIAPAS,07089090031,27/01/2005,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. MACAL",FARMACIA,17a. PONIENTE No.85,,30700,TAPACHULA,CHIAPAS,07089090032,10/05/2005,"II, III"
"FARMACIAS ESQUIVAR SUCURSAL 
PEMEX",FARMACIA,"4a. SUR No.24, CENTRO",CENTRO,,TAPACHULA,CHIAPAS,07089090033,27/06/2005,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
CENTRAL ORIENTE",FARMACIA,"CENTRAL ORIENTE No.68, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090036,16/05/2006,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA BODEGA TAPACHULA 
NORTE",FARMACIA,"14a. NORTE No.100, CENTRO",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090037,07/09/2012,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
INDECO CEBADILLA",FARMACIA,"C. ALDAMA S/N, INDECO CEBADILLA",,,TAPACHULA,CHIAPAS,07089090039,13/12/2006,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
PUERTO MADERO",FARMACIA,"CALZADA ESCOLLERAS S/N, PUERTO 
MADERO",,,TAPACHULA,CHIAPAS,07089090040,13/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
SANTA CLARA",FARMACIA,"AV. PROLONGACION DURAZNOS 
S/N, LAURELES SANTA CLARA",,,TAPACHULA,CHIAPAS,07089090041,13/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL REGIONAL 
DE ALTA ESP. CIUDAD SALUD",FARMACIA,"CARRETERA PUERTO MADERO S/N 
KM. 15 200, COL. LOS TOROS 
PUERTO MADERO",,30830,TAPACHULA,CHIAPAS,07089090042,14/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL CENTRO 
DE SALUD URBANO TAPACHULA",FARMACIA,"8a. NORTE S/N, 5 DE FEBRERO",,,TAPACHULA,CHIAPAS,07089090043,14/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
DEL EJ. FELIPE CARRILLO PUERTO",FARMACIA,"4a. AV. SUR Y AV. GUADALUPE 
VICTORIA; EJIDO FELIPE CARRILLO 
PUERTO",,,TAPACHULA,CHIAPAS,07089090044,21/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD EL 
EDEN",FARMACIA,"DOMICILIO CONOCIDO, EJIDO EL 
EDEN",,,TAPACHULA,CHIAPAS,07089090045,17/01/2007,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DEL 
HOSPITAL GENERAL",FARMACIA,"CARRETERA ANTIGUO AEROPUERTO 
S/N,",LOS CERRITOS,,TAPACHULA,CHIAPAS,07089090046,08/02/2007,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL 
METROPOLITANO DEL SUR S.A. DE 
C.V.",FARMACIA,CENTRAL ORIENTE No.67,CENTRO,30700,TAPACHULA,CHIAPAS,07089090047,12/03/1996,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS EL FENIX,FARMACIA,"10a. NORTE No.28, CENTRO",CENTRO,,TAPACHULA,CHIAPAS,07089090048,23/04/1997,"II, III, Y TOXOIDES"
"FARMACIA DECIMO CUARTA ZONA 
NAVAL",FARMACIA,"DOMICILIO CONOCIDO INTERIOR 
DECIMO CUARTA ZONA NAVAL, COL. 
PUERTO CHIAPAS",COL. PUERTO CHIAPAS,30830,TAPACHULA,CHIAPAS,07089090049,24/06/2014,"I, II, III"
"FARMACIA DECIMO CUARTA ZONA 
NAVAL",FARMACIA,"DOMICILIO CONOCIDO INTERIOR 
DECIMO CUARTA ZONA NAVAL",COL. PUERTO CHIAPAS,30830,TAPACHULA,CHIAPAS,07089090049,21/06/2007,"I, II, III"
FARMACIA SORIANA,FARMACIA,BLVD. DIAZ ORDAZ No.182,COL. COAPANTES,,TAPACHULA,CHIAPAS,07089090050,04/07/2011,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL CENTRO DE SALUD 
VIVA MEXICO",FARMACIA,"CARRETERA COSTERA KM.7, VIVA 
MEXICO",,,TAPACHULA,CHIAPAS,07089090051,11/09/2007,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.10",FARMACIA,"DOMICILIO CONOCIDO, FINCA 
SANTA ANITA",,,TAPACHULA,CHIAPAS,07089090052,25/08/2000,"I, II, III, VACUNAS Y TOXOIDES"
FARMACIA EL FENIX TAPACHULA I,FARMACIA,"CARRETERA AEROPUERTO S/N, LOS 
CERRITOS",,,TAPACHULA,CHIAPAS,07089090054,01/10/2008,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA INTERCONTINENTAL DE 
MEDICAMENTOS",FARMACIA,"CARRETERA A PUERTO MADERO S/N 
KM. 15+200, LOS TOROS",,,TAPACHULA,CHIAPAS,07089090056,06/05/2009,"I, II, III, VACUNAS Y TOXOIDES"
"NUEVA WAL MART SUPERCENTER 
PUERTO MADERO",FARMACIA,"CARRETERA TAPACHULA PUERTO 
MADERO KM. 2.5, LAS HORTENCIAS",,,TAPACHULA,CHIAPAS,07089090057,15/10/2009,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
8a. SUR",FARMACIA,"8a. SUR S/N, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090059,18/08/2011,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
4a. NORTE",FARMACIA,"4a. NORTE No. 32-B, CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090060,18/08/2011,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
SAN JUAN",FARMACIA,"14a. PRIVADA NORTE No. 143, 
CENTRO",CENTRO,30700,TAPACHULA,CHIAPAS,07089090061,18/08/2011,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIAS DEL AHORRO SUCURSAL  
HOSPITAL",FARMACIA,"KM. 2.5 CARRETERA ANTIGUO 
AEROPUERTO S/N",SIN COLONIA,30790,TAPACHULA,CHIAPAS,07089090062,21/08/2013,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 5 
DE FEBRERO",FARMACIA,"8a. NORTE S/N, 5 DE FEBRERO",5 DE FEBRERO,30700,TAPACHULA,CHIAPAS,07089090064,21/08/2013,"I, II, III Y VACUNAS"
"FARMACIA DEL AHORRO SUCURSAL 5 
DE FEBRERO",FARMACIA,"8a. NORTE S/N, 5 DE FEBRERO",COL. 5 DE FEBRERO,30700,TAPACHULA,CHIAPAS,07089090064,21/08/2013,"I, II, III Y VACUNAS"
"DIST. INTERNACIONAL DE MED. Y 
EQUIPO MEDICO S.A. DE C.V.",FARMACIA,"CARRETERA PUERTO MADERO S/N 
KM. 15 200, COL. LOS TOROS 
PUERTO MADERO",,33830,TAPACHULA,CHIAPAS,07089090065,24/02/2012,"I, II, III"
"EQUIPOS MEDICOS DEL SUR S.A. DE 
C.V.",FARMACIA,"CARR. TAPACHULA-PUERTO 
MADERO S/N KM.15+200 INT. HOSP. 
CD. SALUD, LOS TOROS",LOS TOROS,30830,TAPACHULA,CHIAPAS,07089090067,08/07/2013,"I, II, III"
"DISTRIBUIDORA PM DE OCCIDENTE 
S.A. DE C.V.",FARMACIA,"AVENIDA 8a. NORTE 91-A INTERIOR 
B",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090068,29/07/2013,"I, II, III"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. SUC. HG TAPACHULA",FARMACIA,"INT. DEL HG TAPACHULA, CARR. 
ANTIGUO AEROPUERTO KM. 2.5",LOS CERRITOS,30700,TAPACHULA,CHIAPAS,07089090069,06/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL CALVARIO, S.A. DE 
C.V.",FARMACIA,"AV. 2A. NORTE PONIENTE No. 30 
COL. CENTRO",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090071,08/04/2014,"II, III"
"FARMACIA SORIANA EXPRESS 
RINCONADA",FARMACIA,"BLVD. PRINCIPE AKISHINO No. 204, 
COL. RINCONADA DEL CARMEN","COL. RINCONADA DEL 
CARMEN",30796,TAPACHULA,CHIAPAS,07089090073,18/11/2014,"II, III, HEMODERIVADOS"
TIENDAS CHEDRAUI SA DE CV,FARMACIA,"CUARTA AVENIDA SUR NUMERO 
224, COL. CANTARRANAS",COL. CANTARRANAS,30797,TAPACHULA,CHIAPAS,07089090074,18/12/2014,"II, III"
"FARMACIA BODEGA AURRERA 
SOCONUSCO",FARMACIA,"PROLONGACION CENTRAL ORIENTE, 
NUMERO 120, COL. CENTRO",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090075,18/12/2014,"II, III, TOXOIDES, SUEROS DE ORIEGEN ANIMAL, ANTITOXINAS DE ORIEGEN ANIMAL, HEMODERIVADOS, 
VACUNAS Y VITAMINAS"
TIENDAS CHEDRAUI SA DE CV,FARMACIA,"17 CALLE PONIENTE NUMERO 41, 
COL. 1o PRIMERO DE MAYO",COL. 1o DE MAYO,30730,TAPACHULA,CHIAPAS,07089090076,18/12/2014,"II, III"
"MEDITAP, S.A. DE C.V.",FARMACIA,"SEPTIMA AVENIDA SUR No. 25, COL",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090077,18/12/2014,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANTA FE,FARMACIA,"AVENIDA LAS PALMAS No. 3, COL. 
LOS LAURELES",COL. LOS LAURELES,30780,TAPACHULA,CHIAPAS,07089090079,02/07/2015,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
CATEDRAL",FARMACIA,8A. NORTE No. 32,COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090081,09/11/2015,"I, II, III, VACUNAS, TOXOIDES"
"MEDITAP DE ESPECIALIDADES 
MEDICAS",FARMACIA,SEPTIMA AVENIDA SUR No. 21,COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090083,30/08/2016,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
7A. NORTE",FARMACIA,"7A. NORTE ESQUINA 1A. CALLE 
ORIENTE No. 14",COL. CENTRO,30700,TAPACHULA,CHIAPAS,07089090084,16/12/2016,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA BODEGA AURRERA 
TAPACHULA",FARMACIA,4A. AVENIDA SUR No. 155,COL. CANTARRANAS,30797,TAPACHULA,CHIAPAS,07089090085,16/12/2016,"II, III, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS"
"FARMACIAS ESQUIVAR SUCURSAL 
SEBASTIAN ESCOBAR 2",FARMACIA,AVENIDA 8A. NORTE No. 31-A,CENTRO,30700,TAPACHULA,CHIAPAS,07089090086,18/04/2017,"II, III, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA 
TAPACHULA BUENOS AIRES",FARMACIA,"CARRETERA LIBRAMIENTO SUR - 
PONIENTE KM 5 + 220, COLONIA 
BUENOS AIRES.",COLONIA BUENOS AIRES,38680,TAPACHULA,CHIAPAS,07089090087,28/05/2018,"II, III, SUEROS DE ORIGEN ANIMAL, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.36",FARMACIA,DOMICILIO CONOCIDO S/N,,,TAPILULA,CHIAPAS,07091090001,11/02/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR,FARMACIA,"1a. ORIENTE SUR S/N,","BARRIO NUEVA LINDA 
VISTA",,TAPILULA,CHIAPAS,07091090002,29/03/2004,"I, II, III, VACUNAS Y SUEROS DE ORIGEN ANIMAL"
"FARMACIA INTRAHOSP. HOSPITAL DE 
LA COMUNIDAD TAPILULA",FARMACIA,"CARRETERA TAPILULA-PICHUCALCO, 
ATRÁS DE LA IGLESIA DE 
GUADALUPE",,,TAPILULA,CHIAPAS,07091090003,23/04/2007,"II, III, VACUNAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.41",FARMACIA,"DOMICILIO CONOCIDO S/N, CENTRO",CENTRO,,TECPATAN,CHIAPAS,07092090001,08/04/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL INTEGRAL 
RAUDALES MALPASO",FARMACIA,"PIRAMIDE BAJA S/N, RAUDALES 
MALPASO",,,TECPATAN,CHIAPAS,07092090002,29/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA PASTEUR,FARMACIA,"AV. CENTRAL PONIENTE No.20, 
CENTRO",,,TECPATAN,CHIAPAS,07092090003,22/09/2004,S/L
"FARMACIA EL FENIX RAUDALES 
MALPASO",FARMACIA,"PIRAMIDE BAJA S/N, RAUDALES 
MALPASO",,,TECPATAN,CHIAPAS,07092090004,10/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL FENIX TECPATAN,FARMACIA,"3a. SUR S/N, CENTRO",,,TECPATAN,CHIAPAS,07092090005,23/09/2009,"I, II, III"
"SUPER FARMACIAS ESQUIVAR S.A. DE 
C.V.",FARMACIA,"AV. CUAUHTEMOC No.25, RAUDALES 
MALPASO",,,TECPATAN,CHIAPAS,07092090006,07/07/2010,"II, III"
"FARMACIAS ESQUIVAR, SUCURSAL 
MALPASO CENTRO",FARMACIA,"CALLE CUAHUTEMOC S/N, COL. 
CENTRO",COL. CENTRO,29602,TECPATAN,CHIAPAS,07092090007,29/05/2015,"I, II, III, TOXOIDES, VACUNAS, HEMODERIVADOS"
FARMACIA BETEL,FARMACIA,"1a. PONIENTE NORTE No.8, CENTRO",CENTRO,,TEOPISCA,CHIAPAS,07094090001,26/07/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
TEOPISCA",FARMACIA,AV. CENTRAL SUR No.110,COL. CENTRO,29410,TEOPISCA,CHIAPAS,07094090003,09/11/2015,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC TEOPISCA",FARMACIA,"INT. DEL HBC TEOPISCA, AV. 
GUSTAVO DIAZ ORDAZ S/N",,29410,TEOPISCA,CHIAPAS,07094090004,01/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO TEOPISCA",FARMACIA,"INT. DEL HOSPITAL BASICO 
COMUNITARIO TEOPISCA",COL. EL PORVENIR,29410,TEOPISCA,CHIAPAS,07094090008,11/09/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES Y VACUNAS"
"FARMACIA DEL HOSPITAL INTEGRAL 
DE TILA",FARMACIA,CARRETERA TILA - LIMAR KM.3,,,TILA,CHIAPAS,07096090001,24/01/2002,S/L
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HI TILA",FARMACIA,"INT. DEL HI TILA, CARRETERA TILA-
LIMAR KM.3",,29910,TILA,CHIAPAS,07096090004,08/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO TILA",FARMACIA,"INT. DEL HOSPITAL BASICO 
COMUNITARIO TILA CARRETERA TILA-
LIMAR KM 03 S/N, BARRIO 
GUADALUPE",BARRIO GUADALUPE,29910,TILA,CHIAPAS,07096090006,27/02/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES, VACUNAS Y 
PREPARACIONES BACTERIANAS DE USO PARENTERAL"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL TONALA",FARMACIA,"CALLE INDEPENDENCIA No.17, 
CENTRO",CENTRO,30500,TONALA,CHIAPAS,07097090001,23/07/2003,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 
MADERO",FARMACIA,"CALLE FRANCISCO I. MADERO No.61, 
CENTRO",COL. CENTRO,30500,TONALA,CHIAPAS,07097090002,21/08/2013,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIA DEL AHORRO SUCURSAL 
MATAMOROS",FARMACIA,"AV. MATAMOROS ORIENTE No.14-B, 
CENTRO",COL. CENTRO,30500,TONALA,CHIAPAS,07097090003,21/08/2013,"I, II, III, VACUNAS Y TOXOIDES"
FARMACIA DEL AHORRO,FARMACIA,"AV. MATAMOROS No.14-B, CENTRO",CENTRO,,TONALA,CHIAPAS,07097090004,23/07/2003,"I, II, III"
UNIDAD MEDICA FAMILIAR,FARMACIA,"CARRETERA TONALA A PAREDON 
KM. 1.5",,,TONALA,CHIAPAS,0709709005,23/07/2003,"I, II, III, VACUNAS Y SUEROS DE ORIGEN ANIMAL"
"FARMACIA CENTRO DE SALUD 
URBANO TONALA",FARMACIA,"CALLE 21 DE MARZO S/N, CENTRO",CENTRO,,TONALA,CHIAPAS,07097090006,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CENTRO TONALA",FARMACIA,"AV. HIDALGO No.148-A, CENTRO",CENTRO,30500,TONALA,CHIAPAS,07097090007,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DEL 
HOSPITAL GENERAL DE SUBZONA 
No.15",FARMACIA,PROLONGACION AV. HIDALGO S/N,COL. EVOLUCION,30500,TONALA,CHIAPAS,07097090008,19/06/2013,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DE LA CLINICA 
ISSTECH",FARMACIA,"CALLE 20 DE MARZO ENTRE 
HIDALGO Y MATAMOROS, CENTRO",CENTRO,,TONALA,CHIAPAS,07097090009,22/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DR. 
JUAN C. CORZO",FARMACIA,AVENIDA 27 DE SEPTIEMBRE S/N,BARRIO LAS FLORES,30500,TONALA,CHIAPAS,07097090010,30/03/2017,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA LA CRUZ ROJA,FARMACIA,"AV. HIDALGO No.147, CENTRO",CENTRO,,TONALA,CHIAPAS,07097090011,27/05/2005,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA LA ESPERANZA,FARMACIA,HIDALGO Y CALLEJON ORIENTE,,,TONALA,CHIAPAS,07097090013,04/10/2017,"II, III, VACUNAS Y TOXOIDES"
"FARMACIA MI BODEGA AURRERA 
TONALA HIELERA",FARMACIA,"BELISARIO DOMINGUEZ No.15, 
BARRIO NICATAN",,30500,TONALA,CHIAPAS,07097090016,06/10/2010,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA CHANTAL,FARMACIA,"AV. FERROCARRIL No.713,",BARRIO NICATAN,30500,TONALA,CHIAPAS,07097090018,28/06/2012,"I, II, III"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. SUC. HG TONALA",FARMACIA,"INT. DEL HG TONALA, CALLE JAVIER 
MINA Y 27 DE SEP. S/N",BARRIO LAS FLORES,30500,TONALA,CHIAPAS,07097090020,02/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA SORIANA EXPRESS 
TONALA",FARMACIA,AV. HIDALGO No. 45 BARRIO NUEVO,BARRIO NUEVO,30500,TONALA,CHIAPAS,07097090022,23/04/2014,"II, III, VACUNAS, TOXOIDES ANTOTOXINAS DE ORIGEN ANIMAL  Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
TONALA PLAZA",FARMACIA,"PROLONGACION AV. HIDALGO No. 
311","COL. TRAMO TONALA-
ARRIAGA",30500,TONALA,CHIAPAS,07097090024,16/12/2016,"II, III, VACUNAS, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS, VACUNAS"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE SA DE CV",FARMACIA,AVENIDA RAYON S/N,COL. CENTRO,30500,TONALA,CHIAPAS,07097090025,14/03/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODEIRVADOS"
"FARMACIA INTERHOSPITALARIA DEL 
CENTRO DE SALUD",FARMACIA,"CARRETERA A LOS LAGOS DE 
MONTEBELLO KM.1",,,TRINITARIA LA,CHIAPAS,07099090001,11/08/2005,"I, II, III, VACUNAS Y TOXOIDES"
FARMACIA LA MEJOR,FARMACIA,"6/A. AV. PTE. SUR NUM.715, BARRIO 
GUADALUPE, CARRETERA",BARRIO GUADALUPE,30160,LA TRINITARIA,CHIAPAS,07099090002,16/06/2015,II Y III
"DISTRIBUIDORA MEDICA DEL 
SOCONUSCO S.A. DE C.V.",FARMACIA,"4a. PONIENTE SUR No.360,",EL CALVARIO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080002,31/10/2001,
"ALMACEN SUBDELEGACIONAL DEL 
IMSS","ALMACEN DE 
DEPOSITO","CARRETERA TUXTLA-CHIAPA DE 
CORZO KM.7",,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080003,30/01/2002,
"CASA SABA S.A. DE C.V. SUCURSAL 
TUXTLA","ALMACEN DE 
DEPOSITO","LIBRAMIENTO Y PERIFERICO SUR 
PONIENTE No.802, XAMAIPAK",COL. XAMAIPAC,29060,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080004,02/12/2010,"I, II, III, VITAMINICOS, HERBOLARIOS, VACUNAS, HEMODERIVADOS, SUEROS DE ORIGEN ANIMAL"
"ALMACEN DE DEPOSITO Y 
DISTRIBUCION DE MEDICAMENTOS","ALMACEN DE 
DEPOSITO","CARR. JUAN CRISPIN KM. 1.3 
BODEGA 9,",PLAN DE AYALA,29110,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080006,03/02/2005,
EQUIPOS MEDICOS DE CHIAPAS,"COMERCIO AL POR 
MAYOR DE 
PRODUCTOS 
QUIMICOS 
FARMACEUTICOS 
DE TOCADOR Y 
PRODUCTOS 
VETERINARIOS CON 
VENTA DE 
ESTUPEFACIENTES, 
PSICOTROPICOS","ANGEL A. CORZO No.1337,",BUROCRATICA,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080007,18/09/2006,
"NADRO SUC. TUXTLA GUTIERREZ S.A. 
DE C.V.","COMERCIO AL POR 
MAYOR DE 
PRODUCTOS 
QUIMICOS 
FARMACEUTICOS 
DE TOCADOR Y 
PRODUCTOS 
VETERINARIOS CON 
VENTA DE 
ESTUPEFACIENTES, 
PSICOTROPICOS","CARRETERA AL SUMIDERO No.1610,",MANGUITO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080008,"NO SE INGRESO EN 
SISTEMA SISEMET",
