DEL ZOCALO,FARMACIA,"PLAZA DE LA CONSTITUCION 
# 15",CENTRO,74400,Izucar de Matamoros,PUEBLA,1070870230,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DEL VALLE DE TEHUACAN, S.A. DE C.V.",FARMACIA,"HEROES DE LA 
INDEPENDENCIA # 533-A",PASEO HIDALGO,75760,Tehuacán,PUEBLA,1101560231,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PROVIDENCIA,FARMACIA,PROGRESO # 24,CENTRO,,Rafael Lara Grajales,PUEBLA,1041170235,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NUESTRA SEÑORA DE LOURDES,FARMACIA,MORELOS ORIENTE # 106-A,CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330239,19940725,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PROVIDENCIA,FARMACIA,"AV. MANUEL A. CAMACHO # 
702",CENTRO,74200,Atlixco,PUEBLA,1050190241,19940921,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CRISAN LAS 24 HORAS,FARMACIA,"AVENIDA XONACATEPEC # 
1841-E",LAZARO CARDENAS,72310,Puebla,PUEBLA,1061140242,03/08/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CALTENCO,FARMACIA,"AV. 3 ORIENTE # 3 ""A""",CENTRO,75617,Tochtepec,PUEBLA,1091890245,06/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN PEDRO,FARMACIA,EMILIO CARRANZA # 107,A. OBREGON,74060,San Martín Texmelucan,PUEBLA,1051330246,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN CRISTOBAL,FARMACIA,MORELOS # 10,CENTRO,74120,San Martín Texmelucan,PUEBLA,1051330248,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIA DE DESCUENTO,FARMACIA,3 NORTE # 137-C,CENTRO,75700,Tehuacán,PUEBLA,1101560251,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA CRUZ,FARMACIA,AV. XONACATEPEC # 3,SANTA MA.XONACATEPEC,72940,Puebla,PUEBLA,1061140252,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LIBRA,FARMACIA,"CARRET. FED. MEXICO-
PUEBLA KM.85 # 272",CENTRO,74160,Huejotzingo,PUEBLA,1050760254,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MEDINA,FARMACIA,PRIVADA 11 SUR # 114,INDEPENDENCIA,75780,Tehuacán,PUEBLA,1101560255,02/06/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN CRISTOBAL,FARMACIA,5 DE MAYO # 110,CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330256,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NUESTRA SEÑORA DE LOS REMEDIOS,FARMACIA,5 PONIENTE # 709-A,CENTRO,72760,San Andrés Cholula,PUEBLA,1051200259,19950328,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JERONIMO,FARMACIA,EMILIANO ZAPATA # 7,,74129,San Martín Texmelucan,PUEBLA,1051330262,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NAYELLI,FARMACIA,"AV. GUADALUPE VICTORIA # 
107",CENTRO,74160,Huejotzingo,PUEBLA,1050760265,05/09/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NUESTRA SEÑORA DE LA ASUNCION,FARMACIA,11 SUR # 302,CENTRO,74200,Atlixco,PUEBLA,1050190266,05/04/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CRISTAL,FARMACIA,CORREGIDORA # 7,SANCTORUM,72730,Cuautlancingo,PUEBLA,1050420268,06/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL VALLE,FARMACIA,VALLE SAN LUIS # 6828,DEL VALLE,,Puebla,PUEBLA,1061140269,19950518,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GUADALUPANA,FARMACIA,CALLE ALDAMA # 7,,72620,San Miguel Xoxtla,PUEBLA,1051370270,19941026,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
REFORMA,FARMACIA,PLAZA PRINCIPAL # 13-B,CENTRO,74450,Huejotzingo,PUEBLA,1050760271,07/12/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
RICKY,FARMACIA,AVENIDA 5 DE MAYO # 1024,BARRIO ANALCO,72670,Coronango,PUEBLA,1050350272,07/06/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA INES,FARMACIA,PRIVADA ALLENDE # 751-B,LEOBARDO COCA,72450,Puebla,PUEBLA,1061140273,19940822,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LEO,FARMACIA,AVENIDA MORELOS # 1,,72700,Cuautlancingo,PUEBLA,1050420274,04/06/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA MARIA,FARMACIA,AV. CHAPULTEPEC LOTE # 87,3 DE MAYO,75770,Tehuacán,PUEBLA,1101560275,19950228,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAGRADO CORAZON DE JESUS,FARMACIA,7 ORIENTE # 406,CENTRO,75480,Tecamachalco,PUEBLA,1091540276,07/01/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE LA CRUZ,FARMACIA,REFORMA SUR # 1111,CENTRO,75770,Tehuacán,PUEBLA,1101560280,02/12/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL HOGAR,FARMACIA,REFORMA SUR # 106,CENTRO,75700,Tehuacán,PUEBLA,1101560281,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ZACATLAN,FARMACIA,AV. LIC. LUIS CABRERA # 19,,,Zacatlán,PUEBLA,1022080288,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MARCE,FARMACIA,MIGUEL HIDALGO # 316,CENTRO,74940,Acatlán,PUEBLA,1080030292,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MARTIN,FARMACIA,16 DE SEPTIEMBRE # 79,,,San Salvador Huixcolotla,PUEBLA,1091450293,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN GABRIEL,FARMACIA,AV. BONIFACIO VALLE # 148,CENTRO,74790,Tulcingo,PUEBLA,1081910297,02/07/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MARTIN,FARMACIA,"DIAGONAL 3 NORTE Y 4 
PONIENTE",CENTRO,74730,Chiautla,PUEBLA,1070480298,01/02/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ANAHI,FARMACIA,ZARAGOZA # 4,PROGRESO,73889,Piaxtla,PUEBLA,1081130299,02/07/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DOS DE ABRIL, S.A. DE C.V.",FARMACIA,"BOULEVARD DE LA 30 SUR # 
1512",2 DE ABRIL,72380,Puebla,PUEBLA,1061140300,02/02/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"LOS REYES, S. DE R.L. DE C.V.",FARMACIA,"MAXIMINO AVILA CAMACHO 
# 10-A",BARRIO LA ASUNCION,72980,Amozoc,PUEBLA,1090150306,19931123,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL MERCADO,FARMACIA,"AV. LAZARO CARDENAS E 
IGNACIO ZARAGOZA S/N",,73090,Xicotepec,PUEBLA,1011970307,19950731,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL FENIX DE TEZIUTLAN,FARMACIA,AV. HIDALGO # 802,CENTRO,73800,Teziutlán,PUEBLA,1031740308,19950825,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA ASUNCION,FARMACIA,NACIONAL # 213,,75857,Tehuacán,PUEBLA,1101560311,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
AYUTLA,FARMACIA,INDEPENDENCIA # 29,,74577,Izucar de Matamoros,PUEBLA,1070870314,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"EL FENIX, S.A. DE C.V.",FARMACIA,3 ORIENTE # 307,CENTRO,75700,Tehuacán,PUEBLA,1101560316,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
STEFANY,FARMACIA,"AV. 16 DE SEPTIEMBRE # 
1003",BARRIO LAS 3 HRS.,75150,Acatzingo,PUEBLA,1090040317,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ERIKA,FARMACIA,"AVENIDA 5 DE MAYO # 1004-
A",CENTRO,72760,San Pedro Cholula,PUEBLA,1051410318,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LUIS PASTEUR,FARMACIA,ZARAGOZA # 9,CENTRO,74129,San Martín Texmelucan,PUEBLA,1051330319,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MEDINA,FARMACIA,AV. MIGUEL HIDALGO # 1-A,CENTRO,73580,Hueytamalco,PUEBLA,1030780320,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MAXI-FARMACIA,FARMACIA,CALLE MATAMOROS # 6,CENTRO,73160,Huauchinango,PUEBLA,1010720321,19951016,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LUNA,FARMACIA,38 NORTE # 1208,AMERICA SUR,72340,Puebla,PUEBLA,1061140322,19950831,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
JESUS DE NAZARET,FARMACIA,JAVIER MINA # 21,,,Chiautla,PUEBLA,1070480323,07/03/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN GABRIEL,FARMACIA,"AVENIDA GONZALO 
BAUTISTA  # 39-A",IGNACIO ZARAGOZA,72380,Puebla,PUEBLA,1061140324,04/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN FRANCISCO,FARMACIA,PORTAL HIDALGO # 9-B,CENTRO,75150,Acatzingo,PUEBLA,1090040325,10/06/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL PERPETUO SOCORRO,FARMACIA,3 PONIENTE # 502-C,CENTRO,74200,Atlixco,PUEBLA,1050190326,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA SALUD,FARMACIA,3 NORTE # 5,,73700,Tlatlauquitepec,PUEBLA,1031860327,19950131,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
JESUS MEDICO,FARMACIA,"CARRETERA INTERNACIONAL 
S/N",SECCION LA PALMA,74940,Acatlán,PUEBLA,1080030328,08/03/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN AGUSTIN,FARMACIA,AV. INDEPENDENCIA # 303,CENTRO,74200,Atlixco,PUEBLA,1050190329,19930129,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PURISIMA,FARMACIA,7 ORIENTE # 415-A,,72990,Amozoc,PUEBLA,1090150331,19960828,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA INES,FARMACIA,9 PONIENTE # 505,CENTRO,72000,Puebla,PUEBLA,1061140332,04/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN ANGEL,FARMACIA,AV. HIDALGO # 3,CENTRO,73160,Huauchinango,PUEBLA,1010720335,19930623,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
XOCHILT,FARMACIA,AV. JUAN DE DIOS PEZA # 702,EL CARMEN,74160,Huejotzingo,PUEBLA,1050760336,06/06/1996,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN CARLOS,FARMACIA,5 DE FEBRERO  # 8,S.FELIPE HUEYOTLIPAN,72030,Puebla,PUEBLA,1061140337,11/04/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANCHEZ,FARMACIA,"AVENIDA 5 DE MAYO # 610-
13",,74325,San Gregorio Atzompa,PUEBLA,1051260338,19950127,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CENTRO MEDICO PEDIATRICO,FARMACIA,5 SUR # 5305-101,RESIDENCIAL BLVDS.,72440,Puebla,PUEBLA,1061140339,01/09/1996,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE DIOS,FARMACIA,2 NORTE # 401-B,,72980,Amozoc,PUEBLA,1090150340,11/06/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PEQUEÑA,FARMACIA,5 DE FEBRERO # 19,CENTRO,74690,Tepexi de Rodríguez,PUEBLA,1091690341,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN FRANCISCO,FARMACIA,JUAREZ Y VICTORIA S/N,,74580,Chietla,PUEBLA,1070520342,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SEÑOR SANTIAGO,FARMACIA,5 DE MAYO # 7,,73100,Pahuatlán,PUEBLA,1011090343,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JUDAS TADEO,FARMACIA,AVENIDA 5 DE MAYO # 4,,75290,Santo Tomás Hueyotlipan,PUEBLA,1091510345,09/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL CRISTO VIVO,FARMACIA,3 NORTE # 18,,73700,Zaragoza,PUEBLA,1032110347,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN PABLO,FARMACIA,INDUSTRIA # 20,CENTRO,74169,Huejotzingo,PUEBLA,1050760348,05/08/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CARMEN,FARMACIA,VERACRUZ # 17-A,CENTRO,75219,Tepeaca,PUEBLA,1091640349,19950817,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL VERDE,FARMACIA,CALLE 5 DE MAYO # 3,,74130,San Salvador el Verde,PUEBLA,1051440350,07/03/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN AGUSTIN,FARMACIA,3 PONIENTE # 5,CENTRO,75500,Palmar de Bravo,PUEBLA,1091100351,01/12/1996,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN LORENZO,FARMACIA,FRANCISCO I. MADERO # 4,CENTRO,74150,Chiautzingo,PUEBLA,1050490352,19960227,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE JESUS,FARMACIA,AVENIDA HIDALGO # 2-1,,,Tehuacán,PUEBLA,1101560353,11/03/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE MONSERRAT,FARMACIA,2 ORIENTE # 1108,,75740,Tehuacán,PUEBLA,1101560354,19950814,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JOSE,FARMACIA,REFORMA # 163-C,,73900,Tlatlauquitepec,PUEBLA,1031860356,19960116,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BELEN,FARMACIA,5 PONIENTE # 913,CENTRO,72000,Puebla,PUEBLA,1061140358,07/10/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
OLY,FARMACIA,AVENIDA ZAPATA # 6,,75653,Tepexi de Rodríguez,PUEBLA,1091690359,19950526,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CORAZON DE JESUS,FARMACIA,7 SUR # 903,ALVARO OBREGON,74200,Atlixco,PUEBLA,1050190362,19950613,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
TERESITA,FARMACIA,9 NORTE # 4,CENTRO,72760,San Andrés Cholula,PUEBLA,1051200363,19950616,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MARY,FARMACIA,AVENIDA MORELOS # 3-A,CENTRO,74160,Chilchotla,PUEBLA,1040590367,07/04/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMATODO,FARMACIA,31 PONIENTE  # 720,CHULA VISTA,72420,Puebla,PUEBLA,1061140368,19940818,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PUEBLA,FARMACIA,10 PONIENTE # 2912,VILLA SAN ALEJANDRO,72090,Puebla,PUEBLA,1061140370,19971124,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JOSE,FARMACIA,"PARQUE RAFAEL AVILA 
CAMACHO # 5 LOC. 3",CENTRO,75520,Chalchicomula de Sesma,PUEBLA,1040460371,19951113,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HIDALGO,FARMACIA,AV. INDEPENDENCIA # 703-C,CENTRO,74200,Atlixco,PUEBLA,1050190372,19950427,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PAZ,FARMACIA,3 NORTE # 1603-B,AHUEHUETE,74220,Atlixco,PUEBLA,1050190373,19951213,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LINDA,FARMACIA,MORELOS # 3 INTERIOR # 3,CENTRO,73310,Zacatlán,PUEBLA,1022080374,06/01/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE LA 8,FARMACIA,8 PONIENTE # 705-C,CENTRO,72000,Puebla,PUEBLA,1061140375,07/01/1998,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTO TOMAS,FARMACIA,AV. LABASTIDA # 3102,OJO DE AGUA,74042,San Martín Texmelucan,PUEBLA,1051330377,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CARMEN,FARMACIA,5 NORTE # 408-B,CENTRO,72760,San Pedro Cholula,PUEBLA,1051410379,06/01/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LUZ DEL CARMEN,FARMACIA,"CAM. REAL A SAN JERONIMO 
CALERAS LOTE 2-A",INDEP. CALERAS,72100,Puebla,PUEBLA,1061140381,01/12/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN GERMAN,FARMACIA,ANDADOR CAMELIA # 23,J. GONZALEZ ORTEGA,72040,Puebla,PUEBLA,1061140383,19950424,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ALDEBARAN,FARMACIA,12 NORTE # 806-A,BARRIO DEL ALTO,72000,Puebla,PUEBLA,1061140385,19940126,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NAZARETH II,FARMACIA,"LABASTIDA Y MARIANO 
ESCOBEDO # 3310",OJO DE AGUA,74042,San Martín Texmelucan,PUEBLA,1051330386,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CRISTAL,FARMACIA,VICTORIA # 6,,73310,Zacatlán,PUEBLA,1022080388,10/01/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA FE,FARMACIA,5 PONIENTE # 401-5,EL SANTUARIO,75200,Tepeaca,PUEBLA,1091640389,19940823,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA ESTRELLA DE ORO,FARMACIA,CALLE ALLENDE # 780,CENTRO,73780,Libres,PUEBLA,1040960390,08/10/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIVERSAL,FARMACIA,5 NORTE # 203-C,CENTRO,72000,Puebla,PUEBLA,1061140392,11/03/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CENTRAL,FARMACIA,5 DE MAYO NORTE # 1,CENTRO,73680,Zacapoaxtla,PUEBLA,1032070394,10/12/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PARIS,FARMACIA,3 ORIENTE 205-B,CENTRO,75700,Tehuacán,PUEBLA,1101560397,19921118,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JUDAS TADEO,FARMACIA,5 DE MAYO # 6,,73940,Atempan,PUEBLA,1030170399,19950829,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MONARCA,FARMACIA,AYUNTAMIENTO # 25-A,,74400,Izucar de Matamoros,PUEBLA,1070870401,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
RANGEL,FARMACIA,4 PONIENTE # 40,CENTRO,75040,Guadalupe Victoria,PUEBLA,1040680402,19950316,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LOS ANGELES,FARMACIA,CALLE DEL PROGRESO # 208,,73950,San Nicolás de los Rancho,PUEBLA,1061140403,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA LUZ,FARMACIA,"CARRETERA INTERNACIONAL 
# 64",,74400,Izucar de Matamoros,PUEBLA,1070870404,19970430,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL ROSARIO,FARMACIA,2 PONIENTE # 12,,75620,Atoyatempan,PUEBLA,1090200409,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL ESPIRITU SANTO,FARMACIA,4 PONIENTE # 54-B,,75040,Guadalupe Victoria,PUEBLA,1040680410,09/04/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN FRANCISCO,FARMACIA,"27 PONIENTE # 3512 LETRA 
""A""",LOS ANGELES,72400,Puebla,PUEBLA,1061140411,19950913,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN FRANCISCO,FARMACIA,3 ORIENTE # 120,CENTRO,75150,Acatzingo,PUEBLA,1090040412,19950920,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GUADALUPANA,FARMACIA,"CIRCUITO INTERIOR NORTE # 
2 L-4",CENTRAL DE ABASTO,72019,Puebla,PUEBLA,1061140413,19950921,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MIGUELITO,FARMACIA,3 NORTE # 1011,CENTRO,72000,Puebla,PUEBLA,1061140414,19951020,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN PEDRO,FARMACIA,"DIAGONAL DEF. DE LA 
REPUBLICA # 201",MAESTRO FEDERAL,72300,Puebla,PUEBLA,1061140415,19960522,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
COLONIA,FARMACIA,JOSE LIMA # 21,CENTRO,74583,Chietla,PUEBLA,1070520418,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CENTRO,FARMACIA,5 PONIENTE # 116 LOCAL-4,BARRIO SANTIAGO,72980,Amozoc,PUEBLA,1090150419,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMIPLAZA,FARMACIA,"2 NORTE # 131 LOCAL 
EXTERIOR",CENTRO,75700,Tehuacán,PUEBLA,1101560420,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN SEBASTIAN,FARMACIA,"CALLE ESTADO DE VERACRUZ 
# 21",LA SANTISIMA,74021,San Martín Texmelucan,PUEBLA,1051330421,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
J.K.,FARMACIA,J. FRANCISCO LUCAS S/N,SEXTA SECCION,73970,Xiutetelco,PUEBLA,1031990422,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
C Y T,FARMACIA,RIO TUXPAN # 5702,SAN MANUEL,72570,Puebla,PUEBLA,1061140426,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
XALTEPUXTLA,FARMACIA,16 DE SEPTIEMBRE S/N,,73220,Tlaola,PUEBLA,1011830427,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MAGO,FARMACIA,12 NORTE # 116,AQUILES SERDAN,75750,Tehuacán,PUEBLA,1101560430,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL PILAR,FARMACIA,CAMINO REAL Y 8 SUR S/N,GUADALUPE CALERAS,72100,Puebla,PUEBLA,1061140435,19930929,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN RAFAEL,FARMACIA,AVENIDA 5 DE MAYO # 625,CENTRO,73780,Libres,PUEBLA,1040960436,03/12/1996,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
TONANTZI,FARMACIA,HIDALGO # 309,CENTRO,72760,San Pedro Cholula,PUEBLA,1051410438,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANATORIO DEL SAGRADO CORAZON DE JESUS,FARMACIA,GUILLERMO PRIETO # 33,,73300,Chignahuapan,PUEBLA,1020540439,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PARIS,FARMACIA,LUIS CABRERA # 140-B,CENTRO,73310,Zacatlán,PUEBLA,1022080441,19980428,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN LORENZO,FARMACIA,AV. JUAREZ # 26,,75610,Tochtepec,PUEBLA,1091890443,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LOS ANGELES,FARMACIA,2 SUR # 721-A,MORELOS,75770,Tehuacán,PUEBLA,1101560444,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
