ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA TIENDAS GRAN'D SUC. CAMPESTRE,FARMACIA,BOULEVARD TAMAULIPAS NTE. # 3262,FRACC. VILLARREAL,87027,VICTORIA,TAMAULIPAS,28041090077,26/03/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  TIENDAS GRAN'D  SUC. CARRERA,FARMACIA,AVE. CARRERA TORRES OTE. # 824,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090050,04/07/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS GRAND SUC. LIBERTAD,FARMACIA,AVE. LAZARO CARDENAS # 3651,MEXICO,87049,VICTORIA,TAMAULIPAS,28041090059,30/08/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS GRAN'D SUC. OBRERO,FARMACIA,HIDALGO OTE. # 1114,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090067,16/04/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS GRAN'D S.A. DE C.V.,FARMACIA,EJE VIAL # 220 E/JUAREZ Y OCAMPO,HEROES DE NACOZARI,87030,VICTORIA,TAMAULIPAS,28041090090,09/07/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  TIENDA GRAN'D SUC. TOREO,FARMACIA,AVE. 5 DE MAYO NTE. # 1202,SAN FRANCISCO,87050,VICTORIA,TAMAULIPAS,28041090039,19/11/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS GRAN'D S.A. DE C.V.,FARMACIA,"AV.AMERICAESPAÑOLANO.251ESQ.CONAV.REPUBLICADE
CHILE",COL. PEDRO SOSA,87120,VICTORIA,TAMAULIPAS,28041090145,17/01/17,PSICOTROPICOS
FARMACIA TIENDAS GRAN'D S.A. DE C.V.,FARMACIA,CALLE ZEFERINO FAJARDO LUNA N° 3318,COLONIA LA LIBERTAD II,87018,VICTORIA,TAMAULIPAS,28041090171,01/02/19,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS SORIANA  FARMACIA SORIANA,FARMACIA,AVE. CARRERA TORRES S/N,OBRERA,87090,VICTORIA,TAMAULIPAS,28041090080,25/08/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA UNIDAD DE MEDICINA FAMILIAR N. 67,FARMACIA,AVE. MICHOACAN ESQ. C/OCEANO PACIFICO,SAN LUISITO,87049,VICTORIA,TAMAULIPAS,28041090096,25/02/10,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA UNIDAD DE MEDICINA FAMILIAR N. 28,FARMACIA,JUAREZ Y GUERRERO # 325 ESQ.,CENTRO,87200,LLERA,TAMAULIPAS,28019090001,27/04/10,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  WAL MART VICTORIA CENTRO,FARMACIA,BLVD. ADOLFO LOPEZ MATEOS,COL. UNIDAD HABITACIONAL FIDEL,87000,VICTORIA,TAMAULIPAS,28041090011,29/10/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA WAL MART VICTORIA CENTRO,FARMACIA,BERRIOZABAL NO. 1810 ESQ. CON JOSE DE ESCANDON,COL. UNIDAD HABITACIONAL DEL NORTE,87058,VICTORIA,TAMAULIPAS,28041090118,29/10/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
SUPER FARMACIAS MEXICO,FARMACIA,"AV.DELOSPAJARITOSENTREPALOMAARROLLERAYPALOMA
MORADA",COL. BARRIO DE PAJARITOS,87089,VICTORIA,TAMAULIPAS,28041090147,01/02/17,PSICOTROPICOS
DROGUERIA DERMO-KIM'S,FARMACIA,AVE. HIDALGO NO. 6319-B ENTRE FAJA DE RORO Y JESUS LEPE,NUEVO AEROPUERTO,89337,TAMPICO,TAMAULIPAS,28038110003,14/07/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA AMOR,FARMACIA,EJERCITO MEXICANO # 1100-3,ALLENDE,89130,TAMPICO,TAMAULIPAS,28038090176,09/03/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. ADUANA,FARMACIA,ADUANA # 110 NTE.,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090114,03/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. FAJA DE ORO,FARMACIA,AGUA DULCE # 500,PETROLERA,89110,TAMPICO,TAMAULIPAS,28038090110,08/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MIRAMAR,FARMACIA,CARRILLO PUERTO S/N,AMPLIACION UNIDAD NACIONAL,89510,CIUDAD MADERO,TAMAULIPAS,28009090049,02/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. EJERCITO MEXICANO,FARMACIA,AVE. EJERCITO MEXICANO # 1443-A,QUETZALCOATL,89464,CIUDAD MADERO,TAMAULIPAS,28009090050,02/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. BOULEVARD,FARMACIA,BLVD. ADOLFO LOPEZ MATEOS SUR NO. 1006,COL. LAS CONCHITAS,89480,CIUDAD MADERO,TAMAULIPAS,28009090051,02/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. REGIONAL,FARMACIA,CALLE DIEZ PTE. # 414,20 DE NOVIEMBRE,89440,CIUDAD MADERO,TAMAULIPAS,28009090052,08/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. MADERO E.C.,FARMACIA,EMILIO CARRANZA # 110 OTE.,CENTRO,89400,CIUDAD MADERO,TAMAULIPAS,28009090053,26/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. UNIDAD DEPORTIV,FARMACIA,BLVD. A. LOPEZ MATEOS # 127,UNIDAD NACIONAL,89410,CIUDAD MADERO,TAMAULIPAS,28009090054,26/07/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. U. NACIONAL,FARMACIA,BLVD.ADOLFO LOPEZ MATEOS,LAS AMERICAS,89420,CIUDAD MADERO,TAMAULIPAS,28009090055,26/07/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. PETROLERA,FARMACIA,ALLENDE # 112 SUR,CENTRO,89400,CIUDAD MADERO,TAMAULIPAS,28009090057,03/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. LOMAS CHAIREL,FARMACIA,"BOULEVARDLOMAREALNo.103ENTREBLVD.LOMALINDAYAV.
CENTRAL",JESUS ELIAS PIÐA,89365,TAMPICO,TAMAULIPAS,28038090246,13/08/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. UNIVERSIDAD,FARMACIA,AVE. UNIVERSIDAD # 1002,HOSPITAL REGIONAL,89108,TAMPICO,TAMAULIPAS,28038090104,12/04/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. HIDALGO TAMPICO,FARMACIA,AVE. HIDALGO # 3705,GUADALUPE,89120,TAMPICO,TAMAULIPAS,28038090105,20/04/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. B. ESPAÐOLA,FARMACIA,AVE. HIDALGO # 3909,GUADALUPE,89120,TAMPICO,TAMAULIPAS,28038090106,24/04/07,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA BENAVIDES SUC. PLAZA EL CHARRO,FARMACIA,AV. HIDALGO NO. 7102,COL. EL CHARRO,89364,TAMPICO,TAMAULIPAS,28038090227,06/09/16,PSICOTROPICOS
FARMACIAS BENAVIDES SUC. PLAZA DE ARMAS,FARMACIA,CARRANZA # 202 SUR,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090107,21/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. ALTAMIRA,FARMACIA,CARR. TAMPICO-MANTE S/N,ROMA,89350,TAMPICO,TAMAULIPAS,28038090101,29/03/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. TERCERA AVENIDA,FARMACIA,AVE. CUAUHTEMOC S/N E/2DA Y 3RA.,AMERICANA,89190,TAMPICO,TAMAULIPAS,28038090127,13/10/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. LOPEZ MATEOS,FARMACIA,BLVD. LOPEZ MATEOS S/N ESQ. 10 DE MAYO,LOMAS DEL GALLO,89440,CIUDAD MADERO,TAMAULIPAS,28009090061,07/07/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BODEGA AURRERA TAMPICO,FARMACIA,CALZ. SAN PEDRO  NO. 127,COL. ARENAL,89344,TAMPICO,TAMAULIPAS,28038090198,19/05/14,PSICOTROPICOS
FARMACIA BODEGA MULTIPLAZA REAL,FARMACIA,AVE. MONTERREY # 201,AMP. ESFUERZO OBRERO,89316,TAMPICO,TAMAULIPAS,28038090112,08/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENE,FARMACIA,AV. HIDALGO NO.3909,COL. GUADALUPE,89120,TAMPICO,TAMAULIPAS,28038090161,20/07/11,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACIA CASBE,FARMACIA,UNIVERSIDAD DE EMXICO NO. 621,COL. UNIVERSIDAD SUR,89109,TAMPICO,TAMAULIPAS,28038090182,22/08/12,PSICOTROPICOS
"FARMACIACENTRALDEDIAGNOSITCOYMEDICINA
PREVENTIVA",FARMACIA,DR. GERONIMO GONZALEZ NO. 214,COL. ALIJADORES,89250,TAMPICO,TAMAULIPAS,28038090183,23/08/12,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA CENTRO DE SALUD TAMPICO,FARMACIA,BELISARIO DOMINGUEZ N. 600,DEL PUEBLO,89190,TAMPICO,TAMAULIPAS,28038090150,05-10-1010,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA CEMAIN,FARMACIA,AVE. HIDALGO # 1900 E/OLMO Y PINO,ALTAVISTA,89240,TAMPICO,TAMAULIPAS,28038090155,17/12/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA CONSULTORIO PERIFERICO ARBOL
GRANDE",FARMACIA,BELISARIO DOMINGUEZ E/LIBERTAD E INSURGENTES,ARBOL GRANDE,89490,CIUDAD MADERO,TAMAULIPAS,28009090004,11/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA COTY S.A DE C.V.,FARMACIA,BLVD. A. LOPEZ MATEOS. N. 218 SUR,JARDIN 20 DE NOVIEMB,89260,CD. MADERO,TAMAULIPAS,28009090075,14/10/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIACLINICADEMEDICINAFAMILIAR""B""
TAMPICO ISSSTE",FARMACIA,AV. UNIVERSIDAD NO. 1704,COL. UNIVERSIDAD SUR,89109,TAMPICO,TAMAULIPAS,28038090164,10/10/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA CHAIREL,FARMACIA,GERONIMO GLZ. # 214,ALIJADORES,89250,TAMPICO,TAMAULIPAS,28038090129,30/01/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA CHAIREL SUC. UNIVERSIDAD,FARMACIA,CALLE 16 DE SEPTIEMBRE NO. 1719,FRENTE DEMOCRATICO,89470,CIUDAD MADERO,TAMAULIPAS,28009090098,14/07/15,PSICOTROPICOS
FARMACIAS DEL AHORRO SUCURSAL COLON,FARMACIA,CRISTOBAL COLON NO. 108,ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090244,03/05/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,1RO. DE MAYO Y 13 DE ENERO S/N,ZONA CENTRO,89400,CIUDAD MADERO,TAMAULIPAS,28009090103,26/10/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO NEXACA,FARMACIA,NECAXA NO. 100 SUR ENTRE ORIZABA Y VERACRUZ,PRIMERA DE MAYO,89450,CIUDAD MADERO,TAMAULIPAS,28009090114,07/11/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO MADERO CENTRO,FARMACIA,OBREGON E INDEPENDENCIA NO. 1200,ARBOL GRANDE,89490,CIUDAD MADERO,TAMAULIPAS,28009090104,26/10/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO REGIONAL,FARMACIA,CALLE 10 Y 4TA. AVENIDA S/N,JARDIN 20 DE NOVIEMBRE,89440,CIUDAD MADERO,TAMAULIPAS,28009090105,26/10/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO SUC. AVENIDA HIDALGO,FARMACIA,AVENIDA HIDALGO NO. 3404 ENTRE CLAVEL Y AZAHAR,COL. FLORES,89220,TAMPICO,TAMAULIPAS,28038090250,04/03/19,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO SUCURSAL CAMPBELL,FARMACIA,AVENIDA HIDALGO NO. 710,COL. CAMPBELL,89260,TAMPICO,TAMAULIPAS,28038090245,25/05/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO CENTRO,FARMACIA,"ALTAMIRAORIENTENO.401ENTREBENITOJUAREZYCESAR
LOPEZ DE LARA",CENTRO,89000,TAMPICO,TAMAULIPAS,28038090243,26/04/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO CURVA TEXAS,FARMACIA,CARR. TAMPICO-MANTE NO. 314 ENTRE JALISCO Y TAMAULIPAS,COL. MEXICO,89348,TAMPICO,TAMAULIPAS,28038090215,26/10/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO ARENAL,FARMACIA,"CALZADASANPEDRONO.501ENTREAZUCENAYGRACIANO
SANCHEZ",COL. ARENAL,89344,TAMPICO,TAMAULIPAS,28038090216,26/10/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO AURORA,FARMACIA,AVENIDA HIDALGO NO. 1901 ENTRE 4TA. AVENIDA Y AVENIDA B.,COL. AURORA,89170,TAMPICO,TAMAULIPAS,28038090217,26/10/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO FRANCITA,FARMACIA,CALLE FRANCITA ESQUINA AVE. UNIVERSIDAD S/N LOTE 266,COL. PETROLERA,89110,TAMPICO,TAMAULIPAS,28038090231,13/02/17,PSICOTROPICOS
FARMACIAS DEL AHORRO GOCHICOA,FARMACIA,CALLE ALTAMIRA ESQ. CON DR. ALFREDO GOCHICOA NO. 614-1,ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090228,17/01/17,PSICOTROPICOS
FARMACIAS DEL AHORRO SUCURSAL ROSALES,FARMACIA,"CALLEPASEOLOMASDEROSALESNO.103ENTREAVE.HIDLAGO
Y LOMA BONITA",COL. LOMA DE ROSALES,89100,TAMPICO,TAMAULIPAS,28038090242,26/04/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO TAMPICO MANTE,FARMACIA,AVENIDA HIDALGO ESQ. CON CALLE SNA LUIS POTOSI,COL. FRANCISCO JAVIER MINA,89318,TAMPICO,TAMAULIPAS,28038090239,16/11/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO UNIDAD NACIONAL,FARMACIA,"AVENIDATAMAULIPASESQ.BOULEVARDADOLFOLOPEZMATEOS
NO. 101",COL. UNIDAD NACIONAL,89410,CIUDAD MADERO,TAMAULIPAS,28009090110,12/12/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO MERCADO,FARMACIA,"PEDROJ.MENDEZNO.205ENTRE20DENOVIEMBREYSORJUANA
INES DE LA CRUZ",ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090218,26/10/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS DEL AHORRO CESAR LOPEZ DE LARA,FARMACIA,CESAR LOPEZ DE LARA NO. 116 ENTRE CARRANZA Y DIAZ MIRON,ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090219,05/11/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DERMATOLOGICA TAMPICO,FARMACIA,BLVD. ADOLFO LOPEZ MATEOS # 200 SUR L- 7 Y 8,LOMA DEL GALLO,89460,CIUDAD MADERO,TAMAULIPAS,28009090059,03/04/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DERMATOLOGICA TAMPICO,FARMACIA,ALTAMIRA N. 106 E/20 NOV. Y CRISTOBAL COLON,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090153,05/11/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DERMATOLOGICA TAMPICO,FARMACIA,AVE. HIDALGO N. 5820 L-7 E/MARQUEZ D GPE. Y 7,LOMAS DEL CHAIREL,89360,TAMPICO,TAMAULIPAS,28038090154,05/11/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DERMATOLOGICA DE TAMPICO,FARMACIA,UNIVERSIDAD DE WISCONSIN # 803 L- 10 Y 11,LAS VILLAS,89100,TAMPICO,TAMAULIPAS,28038090086,11/04/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DROGUERIA Y FARMACIA EL FENIX,FARMACIA,ALTAMIRA # 413 E/DR. CARLOS CANSECO Y ANTONIO,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090148,28/06/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIADROGUERIAYFARMACIAELFENIXS.A.DE
C.V",FARMACIA,AVE. PASEO LOMAS DE ROSALES # 307,LOMAS DE ROSALES,89100,TAMPICO,TAMAULIPAS,28038090034,27/02/13,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
DPS TAMAULIPAS,FARMACIA,CALLE FRANCITA NO. 502 ENTRE AVENIDA FAJA DE ORO,PETROLERA,89110,TAMPICO,TAMAULIPAS,28038090236,05/07/17,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIAS  EL ARBOL,FARMACIA,CALLE HEROES DEL CAÑONERO NO. 230,ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090229,30/01/17,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA EL FENIX S.A. DE C.V.,FARMACIA,CALZADA SAN PEDRO # 116 E/ESMERALDA Y P. REAL,FRACC. GEMA,89368,TAMPICO,TAMAULIPAS,28038090134,23/02/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA EL FENIX S.A. DE C.V.,FARMACIA,AVE. VALLES # 305 L-5 E/FRESNO Y FAJA DE ORO,FRAMBOYANES,89330,TAMPICO,TAMAULIPAS,28038090137,09/03/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA EL FENIX S.A. DE C.V.,FARMACIA,AVE. TAMAULIPAS #202,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090052,25/05/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA FARMACOS ESPECIALIZADOS S.A. DE C.V.,FARMACIA,AVE. HIDALGO # 1008,JARDIN,89260,TAMPICO,TAMAULIPAS,28038090073,07/10/05,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA FARMADEPOT CENTRO 1,FARMACIA,FRANCISCO I. MADERO NO. 108 OTE.,ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090193,07/10/13,PSICOTROPICOS
FARMACIA FARMAPRICE CENTRO,FARMACIA,FRANCISCO I. MADERO # 108 OTE.,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090108,05/02/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA FARMAPRICE MADERO,FARMACIA,1 DE MAYO # 501 PTE.,CENTRO,89000,CIUDAD MADERO,TAMAULIPAS,28009090047,23-04-1007,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA FLORES Y REGALOS  ANGELES,FARMACIA,AVE. HIDALGO # 5503 E/FAJA DE ORO E INT. NTE,FRAMBOYANES,89330,TAMPICO,TAMAULIPAS,28038090141,17/05/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GENERICOS EXPRESS,FARMACIA,BOLIVIA # 202-A PTE. E/ALLENDE Y JUAREZ,ZONA CENTRO,89400,CIUDAD MADERO,TAMAULIPAS,28009090109,23/05/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GENERICOS EXPRESS,FARMACIA,ALTAMIRA NO. 209-B,ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090225,23/05/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA GHERSA, S.A. DE C.V.",FARMACIA,CALLE SALVADOR DIAZ MIRON NO. 209 PTE.,COLONIA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090252,17/06/19,PSICOTROPCOS
"FARMACIA G.F. TAMPICO, S. DE R.L. DE C.V.",FARMACIA,PRIMERA PRIVADA NO. 102 ENTRE ANDRES GARCIA Y HUMBOLDT,OTOMI,89150,TAMPICO,TAMAULIPAS,28038090177,25/05/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,ROSALIO BUSTAMANTE NO. 200 ENTRE PROL. JALISCO Y ZAPOTAL,ESFUERZO NACIONAL,89470,CIUDAD MADERO,TAMAULIPAS,28009090077,31/03/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,NAYARIT NO. 200 PTE. ENTRE GUANAJUATO Y DURANGO,COL. UNIDAD NACIONAL,89510,CIUDAD MADERO,TAMAULIPAS,28009090083,08/08/12,PSICOTROPICOS
FARMACIA GUADALAJARA,FARMACIA,BLVD. LOMA REAL NO. 401,COL. LOMAS DEL CHAIREL,89360,TAMPICO,TAMAULIPAS,28038090173,27/02/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,AV. AYUNTAMIENTO NO. 201,FRACC. IGNACIO ROMERO,89137,TAMPICO,TAMAULIPAS,28038090174,27/02/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
