ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
Farmacias Especializadas Suc. Mor. 1,Farmacia,Av. Lázaro Cárdenas # 1200,Ventura Puente,58000,Morelia,Michoacán,16 053 09 0160,23/02/2010,"E., Ps., V., T., S., A., H."
Jazmin,Botica,Girasol # 231,Fracc. Trebol,58100,Morelia,Michoacán,16 053 10 0161,20/03/2003,"Ps., T., S."
Sanborn's Las Americas,Farmacia,Av. Lic Enrique Ramirez Miguel # 1000 int. 3,Las Americas,58270,Morelia,Michoacán,16 053 09 0163,27/11/2002,Ps.
Farmacias Del Ahorro,Farmacia,Boulevard Garcia De León # 1075 - A,Chapultepec Sur,58260,Morelia,Michoacán,16 053 09 0164,26/11/2002,Ps.
Farmacias Del Ahorro,Farmacia,Av. del Estudiante # 516,Eréndira,58240,Morelia,Michoacán,16 053 09 0165,31/03/2011,"E., Ps., V., T., S., A., H."
Droguería y Farmacia El Globo,Drogueria,Av. Michelena # 162,Molino de Parras,58010,Morelia,Michoacán,16 053 11 0166,26/11/2002,Ps.
Unidad de Medicina Familiar No. 71,Botica,Alejandro Volta y Ruben C. Navarro,Electricistas,58100,Morelia,Michoacán,16 053 10 0172,20/01/2003,"Ps., V., T."
Comercial Mexicana,Farmacia,Av. Madero Poniente # 2950,Los Ejidos,58150,Morelia,Michoacán,16 053 09 0176,29/05/2007,"Ps., V."
Farmacias Del Ahorro,Farmacia,Av. Madero Poniente # 33,Centro,58000,Morelia,Michoacán,16 053 09 0177,31/03/2011,"E., Ps., V., T., S., A., H."
De Controlados,Botica,Av. Santos Degollado # 870 - A,Industrial,58130,Morelia,Michoacán,16 053 10 0178,24/03/2003,Ps.
Morelia,Farmacia,Samuel Ramos # 450,Centro,58000,Morelia,Michoacán,16 053 09 0179,17/02/2006,"E., Ps., V., T., S., A., H."
Farmacias Del Ahorro,Farmacia,Av. Ventura Puente # 596,Cuauhtémoc,58020,Morelia,Michoacán,16 053 09 0180,31/03/2011,"E., Ps., V., T., S., A., H."
"Hospital Infantil ""Eva Samano De L. 
Mateos",Botica,Justo Mendoza S/N,Centro,58000,Morelia,Michoacán,16 053 10 0181,13/02/2003,"E., Ps., V., T.,  A., H."
Farmapronto,Farmacia,"Av. Cosmos # 55,",Fracc. Cosmos,58050,Morelia,Michoacán,16 053 09 0182,02/03/2009,"Ps., V., T., S., A., H."
Gems De Descuento,Farmacia,Periférico Paseo De La República # 200,Paseo de las Lomas,58255,Morelia,Michoacán,16 053 09 0183,24/02/2003,"Ps., V."
Star Medica,Farmacia,Virrey de Mendoza # 2000,Félix Ireta,58070,Morelia,Michoacán,16 053 09 0185,08/04/2009,"E., Ps., V., T., S., A., H."
"Sanborn's, Portal Galeana Morelia II",Farmacia,Portal Galeana # 171,Centro,58000,Morelia,Michoacán,16 053 09 0186,29/04/2003,Ps.
Farmacias Del Ahorro,Farmacia,Valladolid # 166,Centro,58000,Morelia,Michoacán,16 053 09 0187,31/03/2011,"E., Ps., V., T., S., A., H."
Farmacias Del Ahorro,Farmacia,Av. Camelinas # 1330,La Loma,58290,Morelia,Michoacán,16 053 09 0188,31/03/2011,"E., Ps., V., T., S., A., H."
Omnifarmacias,Farmacia,Jose Juan Tablada # 530 Local 9 y 10,Sta. Ma. De Guido,58090,Morelia,Michoacán,16 053 09 0190,30/05/2003,"Ps., V., T."
Farmacias Del Ahorro,Farmacia,Benedicto Lopez # 65,Centro,58000,Morelia,Michoacán,16 053 09 0191,31/03/2011,"E., Ps., V., T., S., A., H."
Eco-Farmacia,Farmacia,Abasolo # 772,V. Puente,58020,Morelia,Michoacán,16 053 09 0193,18/07/2006,"Ps., V., T."
Sagrado Corazón,Farmacia,Allende # 904 / Cuautla,Centro,58000,Morelia,Michoacán,16 053 09 0194,11/10/2004,"Ps., V., T., S., A., H."
Sams Morelia,Farmacia,Av. Enrique Ramirez # 420,Chapultepec Ote.,58260,Morelia,Michoacán,16 053 09 0195,21/08/2003,"Ps., V., T., S., H."
Lyz II,Farmacia,Trabajadores De Salubridad y Asistencia # 4,Fovissste M.,58120,Morelia,Michoacán,16 053 09 0196,25/03/2019,"E.,Ps., V., T.,S.,A.,H."
Tiendas Soriana S.A. de C.V.,Farmacia,Manuel Muñiz # 493,Juárez,58010,Morelia,Michoacán,16 053 09 0197,02/10/2018,Ps.
Del Ahorro,Farmacia,Av. Acueducto # 214,Chapultepec Sur,58260,Morelia,Michoacán,16 053 09 0200,05/11/2003,Ps.
Omnifarmacias,Farmacia,Av. Lázaro Cárdenas # 2460,Chapultepec Sur,58260,Morelia,Michoacán,16 053 09 0201,05/11/2003,"Ps., V., T."
Bodega Aurrera Morelia Este,Farmacia,Periférico Paseo De La República # 495,Isaac Arriaga,58210,Morelia,Michoacán,16 053 09 0202,10/12/2003,"Ps., V., T., S., H."
Gems De Descuento,Farmacia,Av. Lázaro Cárdenas # 2321,Chapultepec Sur,58260,Morelia,Michoacán,16 053 09 0203,06/02/2004,"Ps., V."
Del Ahorro,Farmacia,Av. Madero Poniente # 2250,Tres Puentes,58140,Morelia,Michoacán,16 053 09 0204,31/03/2011,"E., Ps., V., T., S., A., H."
Tccis Farma Super,Farmacia,Av. Acueducto # 3684 - 1,P. Ocolusen,58279,Morelia,Michoacán,16 053 09 0205,17/03/2004,"Ps., V., T., S., A., H."
De descuento Rocío,Farmacia,Miguel Hidalgo # 205,Capula,58331,Morelia,Michoacán,16 053 09 0206,23/04/2004,"Ps., V., T., S., A., H."
Farmacia Issste # 232,Farmacia,Av. Madero Pte. # 1212,Molino de Parras,58010,Morelia,Michoacán,16 053 09 0207,04/06/2004,"Ps., V., T., S., A., H."
Guadalajara,Farmacia,Libramiento Sur # 4020,Rivera Nte.,58197,Morelia,Michoacán,16 053 09 0208,07/06/2004,"Ps., V., T."
Farmacias del Ahorro,Farmacia,Av. Lázaro Cárdenas # 694,V. Puente,58020,Morelia,Michoacán,16 053 09 0209,31/03/2011,"E., Ps., V., T., S., A., H."
Farmacias del Ahorro,Farmacia,Isidro Huarte # 285,Centro,58000,Morelia,Michoacán,16 053 09 0210,31/03/2011,"E., Ps., V., T., S., A., H."
Farmacias del Ahorro,Farmacia,Guadalupe Victoria # 1544,P. Verdes,58120,Morelia,Michoacán,16 053 09 0211,15/05/2018,"Ps.,V., T., S., A., H."
Yunuen II,Farmacia,Piñon # 67,Fracc. L. de la Huerta,58050,Morelia,Michoacán,16 053 09 0212,11/10/2004,"E., Ps., V., T., S., A."
Farmacias del Ahorro,Farmacia,Av. Jose Tocavén Lavin # 1382,Agustin Arriaga R.,58190,Morelia,Michoacán,16 053 09 0214,31/03/2011,"E., Ps., V., T., S., A., H."
Don Pepe,Farmacia,Sierra De Pichátaro # 918,La Joya,58114,Morelia,Michoacán,16 053 09 0215,11/01/2005,Ps.
Lidia,Farmacia,Lacas De Uruapan # 864 -A,Vasco de Quiroga,58230,Morelia,Michoacán,16 053 09 0216,11/01/2005,"Ps.,  V.,  T.,  S.,  A., H."
Farmacia París,Farmacia,Av. Madero Oriente # 1247,Isaac Arriaga,58210,Morelia,Michoacán,16 053 09 0217,09/02/2005,"E., Ps., V., T., S., A., H."
Farmacias del Ahorro,Farmacia,Dalia # 491,El Porvenir,58160,Morelia,Michoacán,16 053 09 0218,31/03/2011,"E., Ps., V., T., S., A., H."
El Pilar,Farmacia,Trabajadores De Telecomunicaciones # 4,Fovissste M.,58120,Morelia,Michoacán,16 053 09 0219,31/05/2006,Ps.
Súper Farmacias Gems,Farmacia,Siervo De La Nación # 990 - 20,Lomas del Valle,58170,Morelia,Michoacán,16 053 09 0220,17/02/2005,"Ps., V."
Botica del ISSSTE,Botica,Carr. Morelia- Salamanca Km 3 s/n,Fovissste M.,58120,Morelia,Michoacán,16 053 10 0221,28/05/2013,"E., Ps., V., T., S., A., H."
Luisita,Farmacia,2 De Mayo # 383,Independencia,58210,Morelia,Michoacán,16 053 09 0223,02/06/2005,"Ps., V., T."
Farmacias Especializadas Suc. Morelia 2,Farmacia,Virrey De Mendoza # 1998 - 1,Felix Ireta,58070,Morelia,Michoacán,16 053 09 0224,23/02/2010,
Campestre,Farmacia,Benefactor De Zitácuaro # 16,"Fray A. S. M.de 
Iglesias",58270,Morelia,Michoacán,16 053 09 0225,03/06/2005,
Farmacia Faty,Farmacia,Prolongacion Morelos Sur # 838 - A,Ventura Puente,58020,Morelia,Michoacán,16 053 09 0226,17/02/2006,
Fármacos Especializados,Farmacia,"Rey Tariácuri # 391, Loc. 11, 12 y 13",Vistabella,58090,Morelia,Michoacán,16 053 09 0227,01/09/2005,
Súper Farmacias Mexicanas,Farmacia,Emilio Carranza # 295,Centro,58500,Morelia,Michoacán,16 053 09 0228,11/08/2005,
Auditorio,Farmacia,Morelos Sur # 1077 - B,V. Puente,58020,Morelia,Michoacán,16 053 09 0229,16/08/2005,
Ecosim,Farmacia,Nueva Tepeyac # 310 - B,S. Rafael,58255,Morelia,Michoacán,16 053 09 0230,19/09/2005,
Guadalajara,Farmacia,Rey Tariácuri # 385,V. Bella,58090,Morelia,Michoacán,16 053 09 0231,19/10/2005,
Farmacia Guadalajara,Farmacia,Torreon Nuevo # 1320,R. Torreón Nvo.,58116,Morelia,Michoacán,16 053 09 0232,01/12/2005,
Imagen Corporal,Farmacia,José Ma. Olvera # 404,Nva. Chapultepec,58280,Morelia,Michoacán,16 053 09 0234,01/12/2005,
Superama Morelia,Farmacia,Av. Lic Enrique Ramirez Miguel # 445 L 5,Las Americas,58270,Morelia,Michoacán,16 053 09 0237,15/12/2005,
Farmacias del Ahorro,Farmacia,Av. Torreon Nuevo # 1713,Gertrudis Sánchez,58116,Morelia,Michoacán,16 053 09 0238,17/02/2006,
Farmacias del Ahorro,Farmacia,Blvrd. Agustin Arriaga Rivera # 846,Nueva Chapultepec,58260,Morelia,Michoacán,16 053 09 0239,17/02/2006,
Farmacias del Ahorro,Farmacia,"Guadalupe Victoria # 658,",Industrial,58130,Morelia,Michoacán,16 053 09 0240,31/03/2011,
Farmacia Bodega Aurrera Morelia Norte,Farmacia,Av. Torreón Nuevo # 1400,Villas del Real,58116,Morelia,Michoacán,16 053 09 0242,09/03/2016,
Farmacia Santa Cruz De Morelia,Farmacia,Blvd. Rafael Garcia De León # 782,Nueva Chapultepec,58280,Morelia,Michoacán,16 053 09 0243,29/03/2006,
Farmacias del Ahorro,Farmacia,Francisco Márquez # 139 - A,Chapultepec Nte.,58260,Morelia,Michoacán,16 053 09 0244,29/03/2006,
Rosita,Farmacia,Circuito Huacusecha # 31 - A,Fracc. Xangari,58089,Morelia,Michoacán,16 053 09 0245,03/04/2006,
Santo Niño,Farmacia,Abasolo # 509,Centro,58000,Morelia,Michoacán,16 053 09 0247,11/05/2006,
Súper Farmacia La Providencia,Farmacia,Anáhuac # 667 - B,Guadalupe,58140,Morelia,Michoacán,16 053 09 0248,11/05/2006,
Farmacia Emmanuel,Farmacia,Ma. Teresa Ramirez # 1010,Medallistas Olimpicos,58116,Morelia,Michoacán,16 053 09 0249,15/05/2006,
Súper Farmacia Del Río,Farmacia,Av. San Juanito Itzícuaro # 6,Sn. Juanito Itzicuaro,58341,Morelia,Michoacán,16 053 09 0250,15/05/2006,
Farmacia Sandy,Farmacia,Fernandez Felix # 21 - A,Tanganxoan,58337,Morelia,Michoacán,16 053 09 0251,15/05/2006,
Súper Farmacia San Juan,Farmacia,Jose Gregorio Patiño # 227,"Fracc. San Isidro 
Itzicuaro",58337,Morelia,Michoacán,16 053 09 0252,15/05/2006,
Farmapronto,Farmacia,Margarita Maza De Juarez # 1631,V. Bella,58090,Morelia,Michoacán,16 053 09 0253,30/05/2006,
Chapultepec,Farmacia,Batalla De Cerro Gordo # 247 - A,Chapultepec Nte.,58260,Morelia,Michoacán,16 053 09 0254,06/08/2008,
Droguería y Farmacia Icfai,Drogueria,Artilleros del 47 # 413 - 1,Chapultepec Sur,58260,Morelia,Michoacán,16 053 11 0255,30/05/2006,
Farmacia San Isidro,Farmacia,Lázaro Cárdenas # 16,Gertrudis Sanchéz,58300,Morelia,Michoacán,16 053 09 0256,30/05/2006,
Farmacia de Dios,Farmacia,Virrey De Mendoza # 928 - A,V. Puente,58020,Morelia,Michoacán,16 053 09 0257,30/05/2006,
Súper Farmacia Torreón,Farmacia,Av. Torreón Nuevo # 730,Amp. Torreón Nvo.,58116,Morelia,Michoacán,16 053 09 0258,29/06/2006,
Farmacia La Mano De Dios,Farmacia,Carretera A Chiquimitío # 105,Torreón Nuevo,58117,Morelia,Michoacán,16 053 09 0259,31/05/2006,
Romina III,Farmacia,Piloto Flora Conde # 743 - A,Jardines de Gpe.,58140,Morelia,Michoacán,16 053 09 0260,08/06/2006,
Wendy,Farmacia,Feliciano González # 64,Art. 27 Constitucional,58210,Morelia,Michoacán,16 053 09 0261,08/06/2006,
La Soledad,Farmacia,Consuelo Martinez Espinosa # 73 - A,"Profr. Jesús Romero 
F.",58118,Morelia,Michoacán,16 053 09 0262,08/06/2006,
Tiendas Soriana,Farmacia,"Av. Solidaridad # 350, Felix Ireta",Av. Solidaridad,58070,Morelia,Michoacán,16 053 09 0263,18/08/2008,
Santa Elena,Farmacia,Etiopía # 160 - A,Rector Hidalgo,58095,Morelia,Michoacán,16 053 09 0264,09/06/2006,
Súper Farmacia La Higuera,Farmacia,Av. Manantiales De Morelia # 30 - 5,"Fracc. Los 
Manantiales",58188,Morelia,Michoacán,16 053 09 0265,09/06/2006,
Yoselin,Farmacia,Antonio Del Castillo # 46,La Soledad,58118,Morelia,Michoacán,16 053 09 0266,09/06/2006,
Farmacia De Jesús,Farmacia,Revolución # 138,Centro,58000,Morelia,Michoacán,16 053 09 0267,16/06/2006,
Gardenia,Farmacia,Gardenia # 1014 - A,Las Margaritas,58160,Morelia,Michoacán,16 053 09 0268,16/06/2006,
Nuestra Señora De Guadalupe,Farmacia,Av. Vasco De Quiroga # 47,Centro,58331,Morelia,Michoacán,16 053 09 0269,28/06/2006,
Farmacia De Jesús,Farmacia,Vasco De Quiroga S/N,Centro,58331,Morelia,Michoacán,16 053 09 0270,16/06/2006,
Súper Farmacias Mexicana,Farmacia,Av. Lopez Mateos # 244,Inf. López Mateos,58180,Morelia,Michoacán,16 053 09 0271,28/06/2006,
Mary Paz,Farmacia,Bucareli # 885,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0272,28/06/2006,
Mandujano,Farmacia,Sexta # 325,Guadalupe,58140,Morelia,Michoacán,16 053 09 0273,29/05/2007,
Súper Farmacia La Paloma,Farmacia,Av. Torreón Nuevo # 859 - B,A. Torreón Nuevo,58116,Morelia,Michoacán,16 053 09 0274,28/06/2006,
Súper Farmacia Mary,Farmacia,"Cortes Ruiz Salvador Miguel de Guevara # 17 - 
B",Fracc. M. Punhuato,58249,Morelia,Michoacán,16 053 09 0275,29/06/2006,
Súper Farmacia Weber,Farmacia,Sinaloa # 365 - A,Isaac Arriaga,58210,Morelia,Michoacán,16 053 09 0276,29/06/2006,
Súper Farmacia Valladolid,Farmacia,Constituyentes # 509,Obrera,58130,Morelia,Michoacán,16 053 09 0277,29/06/2006,
Mi Farmacita Nacional Morelia 1,Farmacia,Lucrecia Toriz # 170 A y  B,"Margarita M. de 
Juárez",58280,Morelia,Michoacán,16 053 09 0278,13/09/2006,
Súper Farmacia Valle Soletana,Farmacia,San Juanito Itzícuaro # 3825,"Fracc. Héroes 
Republicanos",58341,Morelia,Michoacán,16 053 09 0279,03/08/2006,
Súper Farmacia La Guadalupana,Farmacia,Patachicuaro # 25 -B,"Fracc. San Isidro 
Itzicuaro",58337,Morelia,Michoacán,16 053 09 0280,03/08/2006,
Súper Farmacia El Puma,Farmacia,Cayetano Andrade # 144 - A,Felícitas del Rio,58040,Morelia,Michoacán,16 053 09 0281,04/08/2006,
Súper Farmacia El Refugio,Farmacia,La Chinaca # 57,"Fracc. Ignacio 
Ramírez",58149,Morelia,Michoacán,16 053 09 0282,04/08/2006,
Corpus Christy,Farmacia,Av. Quinceo # 1755 - A,Amp. Pop. Progreso,58110,Morelia,Michoacán,16 053 09 0283,03/08/2006,
Sixtos Farmaceutica,Farmacia,Peña y Peña # 225 - 1,Chapultepec Norte,58260,Morelia,Michoacán,16 053 09 0284,03/08/2006,
Farmacia Ecosim,Farmacia,Melchor Ocampo # 175,Vicente R. Palacios,58116,Morelia,Michoacán,16 053 09 0285,03/08/2006,
Farmacia Guadalajara,Farmacia,Av. Siervo de la Nación # 480,L. del Valle,58170,Morelia,Michoacán,16 053 09 0286,22/08/2006,
Mi Farmacita Nacional Morelia II,Farmacia,Lanceros de la Libertad # 133,El Realito,58116,Morelia,Michoacán,16 053 09 0287,11/09/2006,
Mi Farmacia,Farmacia,Jazmin # 541 - A,El Porvenir,58160,Morelia,Michoacán,16 053 09 0288,22/08/2006,
Alemar,Farmacia,Av. Siervo de la Nacion # 1088,Libertad,58178,Morelia,Michoacán,16 053 09 0289,21/08/2006,
Farmacia Del Sagrado Corazón De Jesús,Farmacia,Valentin Gomez Farias # 264 - E,"Residencial Fuentes 
de Morelia",58088,Morelia,Michoacán,16 053 09 0290,14/09/2006,
Farmacia Guadalajara,Farmacia,Fuentes De Morelia # 80,"Residencial Fuentes 
de Morelia",58088,Morelia,Michoacán,16 053 09 0291,14/09/2006,
Morelia,Farmacia,Francisco Villa # 155 - C,Dr. Miguel Silva,58120,Morelia,Michoacán,16 053 09 0292,21/09/2006,
Farmacia D Alvi,Farmacia,Salvador Azuela # 278,Elías Pérez Avalos,58218,Morelia,Michoacán,16 053 09 0293,05/10/2006,
Farmacia D Alvi,Farmacia,Bucareli # 499,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0294,24/10/2006,
Bioreducing Center,Farmacia,Av. Periodismo # 745,Nva. Valladolid,58170,Morelia,Michoacán,16 053 09 0296,10/09/2010,
Farmacia Rita,Farmacia,Jose Lanz # 80 - E,Emiliano Zapata,58341,Morelia,Michoacán,16 053 09 0297,14/12/2006,
Farmacia Guadalajara,Farmacia,Escuadron 201 # 70,Guadalupe,58140,Morelia,Michoacán,16 053 09 0298,15/12/2006,
Lucy,Farmacia,Av. Lázaro Cárdenas # 2020 - A,Chapultepec Sur,58260,Morelia,Michoacán,16 053 09 0299,02/02/2007,
Farmacia Cejaim,Farmacia,Magnolia # 12 - 1,Las Flores,58160,Morelia,Michoacán,16 053 09 0300,01/03/2007,
Morelos,Farmacia,Luis Martinez De Castro # 143 - A,P. Ocolusen,58257,Morelia,Michoacán,16 053 09 0301,06/03/2007,
Santa Maria,Farmacia,Av. Ventura Puente # 27,Cuauhtémoc,58020,Morelia,Michoacán,16 053 09 0303,02/04/2007,
Gems De Descuento,Farmacia,Escuadrón 201 # 320,Guadalupe,58140,Morelia,Michoacán,16 053 09 0304,26/04/2007,
Farmacia Vane II,Farmacia,Sexta # 446,Guadalupe,58140,Morelia,Michoacán,16 053 09 0305,26/04/2007,
Farmacia Santa Cruz De Morelia,Farmacia,Av. Lazaro Cardenas # 2998,Chapultepec,58260,Morelia,Michoacán,16 053 09 0306,01/10/2018,
Bioreducing Center,Farmacia,Av. Ventura Puente # 1160,V. Puente,58020,Morelia,Michoacán,16 053 09 0307,25/10/2010,
Chely,Farmacia,Circuito Mintzita # 51,"Fracc. Los 
Manantiales",58198,Morelia,Michoacán,16 053 09 0308,28/05/2007,
Tiendas Soriana S.A. de C.V.,Farmacia,Periférico Paseo De La República # 2500,"Josefa Ortiz de 
Dominguez",58088,Morelia,Michoacán,16 053 09 0309,02/10/2018,
"Súper Farmacias Mexicana Suc. Vasco De 
Q.",Farmacia,Vasco De Quiroga # 332 - B,V. Quiroga,58000,Morelia,Michoacán,16 053 09 0310,18/07/2007,
Farmacia Leo,Farmacia,Av. Fuentes De Morelia # 118,Fuentes de Morelia,58088,Morelia,Michoacán,16 053 09 0311,18/07/2007,
Farmacia Ahorramex,Farmacia,Cap. Carlos Rovirosa # 878,Jardines de Gpe.,58140,Morelia,Michoacán,16 053 09 0312,18/07/2007,
Farmacia Acueducto,Farmacia,Lacas De Uruapan # 15 - A y B,Vasco de Quiroga,58230,Morelia,Michoacán,16 053 09 0313,18/07/2007,
Farmacia Lore,Farmacia,Escuadron 201 # 600 - A,Jardines de Gpe.,58140,Morelia,Michoacán,16 053 09 0314,13/08/2007,
Súper Farmacias Mexicanas Suc. Madero,Farmacia,Av. Madero Poniente # 1890,Nva. Valladolid,58190,Morelia,Michoacán,16 053 09 0315,13/08/2007,
"Súper Farmacias Mexicana Suc. L. 
Cardenas",Farmacia,Av. Lázaro Cárdenas # 571 - A,Ventura Puente,58020,Morelia,Michoacán,16 053 09 0316,13/08/2007,
"Súper Farmacias Mexicana Suc. 
Guadalupe",Farmacia,Calle Sexta # 484,Ventura Puente,58020,Morelia,Michoacán,16 053 09 0318,13/08/2007,
Súper Farmacia Mexicana,Farmacia,Circuito López Mateos # 244,Adolfo Lopez Mateos,58180,Morelia,Michoacán,16 053 09 0319,13/09/2007,
Farmacia De Jesús,Farmacia,Av. Primer Presidente de México # 230,Guadalupe Victoria,58337,Morelia,Michoacán,16 053 09 0320,28/05/2013,
Farmacia y Autoservicios,Farmacia,Eduardo Ruiz # 641,Centro,58000,Morelia,Michoacán,16 053 09 0321,23/11/2007,
Farmacia Vevial,Farmacia,Carlos Robinson # 198,Felipe Carrillo P.,58118,Morelia,Michoacán,16 053 09 0322,08/10/2007,
Farmacias Del Ahorro,Farmacia,Querenda Angapeti # 37,Vista Bella,58090,Morelia,Michoacán,16 053 09 0323,08/10/2007,
Farmacia Providencia,Farmacia,Batalla de Veladero # 216,Trincheras de Morelos,58096,Morelia,Michoacán,16 053 09 0324,05/10/2007,
Farmacia Santa Anita,Farmacia,Francisco Nieto Rodriguez # 253,Tenencia Morelos,58341,Morelia,Michoacán,16 053 09 0325,09/10/2007,
Farmacredito,Farmacia,Rafael De La Vega # 174,Ejidal Ocolusen,58295,Morelia,Michoacán,16 053 09 0326,06/11/2007,
Farmacia Vallesoletana,Farmacia,Av. San Juanito Itzícuaro # 3835,"Fracc. Héroes 
Republicanos",58341,Morelia,Michoacán,16 053 09 0327,12/11/2007,
Farmacias De La Oferta,Farmacia,Morelos Sur # 1617 - 3,Felix Ireta,58070,Morelia,Michoacán,16 053 09 0328,04/12/2007,
Botica Central,Farmacia,Valentin Gomez Farías # 318,Centro,58000,Morelia,Michoacán,16 053 09 0329,03/12/2007,
Farmacia Y Minisuper,Farmacia,Eduardo Ruiz # 521,Centro,58000,Morelia,Michoacán,16 053 09 0330,03/12/2007,
Farmacia Santa Cruz De Morelia,Farmacia,"Av. Periodismo Jose Tocavén Lavin S/N Torre 
Blanca Int. 3","Jardines de 
Torremolinos",58197,Morelia,Michoacán,16 053 09 0331,22/01/2008,
Arkos,Farmacia,Luis Oronoz # 95,V. del Parián,58337,Morelia,Michoacán,16 053 09 0332,18/02/2008,
Nicolas Bravo,Farmacia,Jose Santos Villa # 375 - A,Nicolás Bravo,58180,Morelia,Michoacán,16 053 09 0333,23/01/2008,
Real San Diego,Farmacia,Av. Real De San Diego # 31,Fracc. Real S.  Diego,58080,Morelia,Michoacán,16 053 09 0334,28/01/2008,
Clínica Morelos,Farmacia,Jardin Morelos # 67 - 4,Centro,58000,Morelia,Michoacán,16 053 09 0335,28/01/2008,
F. Valladolid,Farmacia,Periferico Paseo de la Republica No. 5637,"Jardines de 
Guadalupe",58140,Morelia,Michoacán,16 053 09 0336,25/03/2019,
Ams Farmacias,Farmacia,Isidro Huarte # 657,Centro,58000,Morelia,Michoacán,16 053 09 0337,28/01/2008,
Inyexion,Farmacia,Gertrudis Bocanegra # 260,Centro,58000,Morelia,Michoacán,16 053 09 0338,04/03/2008,
Tiendas Soriana,Farmacia,Periférico Paseo De La República # 1001,El Realito,58116,Morelia,Michoacán,16 053 09 0339,27/03/2008,
Irekani,Farmacia,Juan Ruiz De Alarcón # 313,Centro,58000,Morelia,Michoacán,16 053 09 0340,03/04/2008,
Clínica Int. De Trat. Contra Las Adicciones,Botica,"Uranio # 160, Esq. Ignacio Zaragoza",Industrial,58130,Morelia,Michoacán,16 053 10 0341,18/08/2008,
Maya,Farmacia,Prolongación Acueducto # 3153,Insurgentes,58250,Morelia,Michoacán,16 053 09 0343,19/12/2008,
Farmacia D'ali,Farmacia,Bucareli # 499,Insurgentes,58250,Morelia,Michoacán,16 053 09 0344,19/12/2008,
Farmacia Torre Medica,Farmacia,Fray Sebastián De Aparicio # 22,Insurgentes,58250,Morelia,Michoacán,16 053 09 0345,19/12/2008,
Farmacia Medica Depot,Farmacia,Samuel Ramos # 575,Cuauhtémoc,58020,Morelia,Michoacán,16 053 09 0346,12/03/2009,
Farmacia Lupita,Farmacia,Caramicua # 126 - A,Nicolás Romero,58258,Morelia,Michoacán,16 053 09 0347,23/03/2009,
La Moreliana,Farmacia,Ireti-Ticateme # 348,Félix Ireta,58070,Morelia,Michoacán,16 053 09 0348,06/04/2009,
Farmacia Del Mar,Farmacia,Bucareli # 194,V. Quiroga,58230,Morelia,Michoacán,16 053 09 0349,12/05/2009,
"Farmadro, S.A. de C.V.",Drogueria,Manuel Muñiz No. 573,Juárez,58010,Morelia,Michoacán,16 053 11 0351,07/05/2013,
Sixtos Farmacia,Farmacia,Amado Nervo # 579,Centro,58000,Morelia,Michoacán,16 053 09 0352,11/09/2009,
Farmacia Torre Medica,Farmacia,Ana Maria Gallaga # 911 - C,Centro,58000,Morelia,Michoacán,16 053 09 0353,15/12/2009,
Farmacia Sagrado Corazón,Farmacia,Lázaro Cárdenas # 2759 - A,Chapultepec Nte.,58270,Morelia,Michoacán,16 053 09 0354,15/12/2009,
Farmacia Especializada  La Paz,Farmacia,Samuel Ramos # 107,Centro,58000,Morelia,Michoacán,16 053 09 0355,24/07/2013,
Farmacia Santa Cruz de Morelia,Farmacia,Av. Lázaro Cárdenas # 742,V. Puente,58020,Morelia,Michoacán,16 053 09 0356,01/10/2018,
Farmacia Santa Cruz de Morelia,Farmacia,Luis G. Banuet # 425,Chapultepec Nte.,58260,Morelia,Michoacán,16 053 09 0357,01/10/2018,
Farmacias De La Oferta,Farmacia,Morelos Sur # 1617 - 3,Felix Ireta,58070,Morelia,Michoacán,16 053 09 0358,12/04/2010,
Farmacias del Ahorro,Farmacia,Av. Camelinas # 3615,5 de diciembre,58270,Morelia,Michoacán,16 053 09 0359,15/05/2018,
Farmacias del Ahorro,Farmacia,Av. Torreón Nuevo # 374,Loma Real,58116,Morelia,Michoacán,16 053 09 0360,15/05/2018,
Farmacia Veterinaria Calderon,Farmacia,Antonio Alzate # 98,Centro,58000,Morelia,Michoacán,16 053 09 0361,06/08/2010,
Tiendas Soriana,Farmacia,Periférico Paseo De La República # 5030,Jardines de Rincón,58270,Morelia,Michoacán,16 053 09 0362,02/04/2007,
Multifarmacias Del Norte,Farmacia,Av. Camelinas # 770 - B,La Loma,58290,Morelia,Michoacán,16 053 09 0363,06/08/2010,
"Farmacia y Perf. La Popular de Valladolid 
Suc. Lucy",Farmacia,Juan Escutia # 275,Chapultepec Nte.,58260,Morelia,Michoacán,16 053 09 0365,06/08/2010,
